model,generative_type,rank,french,italian,spanish,parameters,vocabulary_size,context,commercial,merge,allocine,eltec,scala_fr,fquad,orange_sum,mmlu_fr,hellaswag_fr,sentipolc16,multinerd_it,scala_it,squad_it,ilpost_sum,mmlu_it,hellaswag_it,sentiment_headlines_es,conll_es,scala_es,mlqa_es,mlsum_es,mmlu_es,hellaswag_es,allocine_version,eltec_version,scala_fr_version,fquad_version,orange_sum_version,mmlu_fr_version,hellaswag_fr_version,sentipolc16_version,multinerd_it_version,scala_it_version,squad_it_version,ilpost_sum_version,mmlu_it_version,hellaswag_it_version,sentiment_headlines_es_version,conll_es_version,scala_es_version,mlqa_es_version,mlsum_es_version,mmlu_es_version,hellaswag_es_version
<a href='https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct (few-shot)</a>,📝,2.05@@2.05,2.10@@2.10,2.10@@2.10,1.94@@1.94,8030261248.0,128256.0,131072.0,✓,✗,93.55 ± 0.59 / 96.76 ± 0.30@@93.5546986952189,51.78 ± 2.71 / 46.76 ± 3.00@@51.78214978097677,26.04 ± 2.26 / 52.60 ± 2.82@@26.04419069783833,64.96 ± 0.96 / 32.46 ± 0.97@@64.96111291761213,66.80 ± 0.09 / 19.03 ± 0.47@@66.79819833312649,42.45 ± 1.05 / 56.71 ± 0.77@@42.44784028562895,44.67 ± 1.39 / 58.46 ± 1.09@@44.67340301209767,45.18 ± 0.97 / 47.57 ± 0.52@@45.17945356854457,67.95 ± 1.73 / 54.28 ± 2.10@@67.95429298279882,24.92 ± 1.51 / 61.73 ± 1.10@@24.923470044607583,63.90 ± 0.90 / 33.34 ± 2.37@@63.90200904632606,66.94 ± 0.33 / 21.71 ± 0.95@@66.9446657631488,40.63 ± 1.35 / 55.43 ± 1.02@@40.62832224385591,41.66 ± 1.57 / 56.17 ± 1.21@@41.664781883309516,44.85 ± 2.53 / 61.15 ± 2.07@@44.84586409432206,67.97 ± 1.50 / 60.92 ± 1.65@@67.96852626982543,20.78 ± 2.87 / 58.25 ± 1.86@@20.784481464923346,56.93 ± 0.84 / 23.74 ± 2.10@@56.92574793729749,63.40 ± 0.11 / 13.86 ± 0.41@@63.404245501587866,42.59 ± 0.74 / 56.82 ± 0.58@@42.58915781308,47.78 ± 1.62 / 60.58 ± 1.19@@47.78354593268034,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/nvidia/mistral-nemo-minitron-8b-base'>nvidia/mistral-nemo-minitron-8b-base (few-shot)</a>,🧠,2.10@@2.10,1.96@@1.96,2.22@@2.22,2.10@@2.10,8414105600.0,131072.0,8192.0,✓,✗,92.51 ± 0.68 / 96.17 ± 0.36@@92.51066222684115,58.36 ± 2.11 / 53.88 ± 2.00@@58.35821189566144,30.60 ± 1.94 / 60.68 ± 2.08@@30.596351874733312,73.29 ± 1.59 / 47.51 ± 1.11@@73.28998293209054,66.21 ± 1.07 / 20.62 ± 1.44@@66.20678822713671,44.63 ± 0.73 / 57.98 ± 0.53@@44.62659478193081,39.39 ± 1.89 / 51.43 ± 1.93@@39.388905128548906,53.63 ± 2.81 / 68.43 ± 2.21@@53.63115844352808,59.19 ± 4.57 / 52.30 ± 3.08@@59.187828482940056,13.56 ± 2.78 / 46.99 ± 3.74@@13.561710718222454,71.25 ± 1.65 / 52.93 ± 2.25@@71.24942034286151,66.92 ± 0.91 / 23.50 ± 1.45@@66.91765845491318,42.65 ± 1.23 / 56.25 ± 0.93@@42.64994694187629,27.14 ± 4.54 / 42.01 ± 3.77@@27.13837037095549,34.56 ± 2.67 / 49.07 ± 3.51@@34.56420544366583,60.55 ± 2.14 / 54.96 ± 1.45@@60.548655235576156,14.34 ± 3.06 / 46.16 ± 4.49@@14.342763797214733,66.71 ± 1.33 / 42.34 ± 2.52@@66.70971003911663,62.50 ± 0.33 / 16.84 ± 1.09@@62.504070722643526,44.83 ± 1.10 / 58.16 ± 0.81@@44.82772040595108,39.68 ± 3.05 / 51.92 ± 2.77@@39.683379751838544,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,2.12@@2.12,2.14@@2.14,2.29@@2.29,1.95@@1.95,,,1047576.0,✓,✗,89.38 ± 1.41 / 94.57 ± 0.73@@89.38276511375311,42.14 ± 2.21 / 23.16 ± 0.94@@42.143866228695,31.08 ± 2.61 / 62.04 ± 1.42@@31.078459462352175,61.75 ± 1.19 / 31.06 ± 1.41@@61.752794308562635,66.23 ± 0.13 / 15.54 ± 0.19@@66.23330826871097,48.90 ± 2.49 / 60.20 ± 1.86@@48.90237142317976,42.47 ± 3.13 / 56.13 ± 2.40@@42.465339487300405,46.19 ± 2.28 / 48.39 ± 1.13@@46.1872756435016,41.99 ± 2.06 / 25.46 ± 1.11@@41.98733865782007,25.24 ± 2.57 / 46.09 ± 1.67@@25.241450621008397,63.94 ± 0.92 / 40.58 ± 0.89@@63.94426321659923,65.24 ± 0.17 / 16.14 ± 0.26@@65.24109138641506,51.47 ± 2.83 / 63.12 ± 2.11@@51.468396466283515,36.65 ± 2.42 / 52.03 ± 1.86@@36.65239861534489,48.93 ± 2.25 / 60.34 ± 1.76@@48.927813391579534,60.73 ± 1.43 / 56.84 ± 1.60@@60.72582613975045,18.01 ± 3.90 / 58.87 ± 1.91@@18.007979036213612,55.20 ± 0.94 / 24.00 ± 1.05@@55.198576183694726,62.33 ± 0.14 / 10.91 ± 0.19@@62.326012733392425,49.50 ± 1.52 / 61.41 ± 1.19@@49.50096086532964,51.81 ± 2.68 / 63.71 ± 2.02@@51.81121968467994,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-8b-001'>gemini/gemini-1.5-flash-8b-001 (zero-shot, val)</a>",📝,2.12@@2.12,2.09@@2.09,2.25@@2.25,2.03@@2.03,8000000000.0,256128.0,1048576.0,✓,✗,90.74 ± 1.46 / 95.34 ± 0.74@@90.74460239772598,53.74 ± 1.96 / 40.51 ± 1.92@@53.73712028442383,29.85 ± 3.81 / 64.52 ± 1.81@@29.854670803824735,64.41 ± 1.11 / 33.28 ± 1.40@@64.40977691939253,66.42 ± 0.14 / 15.73 ± 0.17@@66.4162775198929,50.67 ± 3.20 / 61.68 ± 2.55@@50.67082968491825,33.79 ± 3.41 / 47.54 ± 2.62@@33.7884982173765,51.86 ± 2.14 / 60.62 ± 1.79@@51.86115568106147,56.24 ± 1.75 / 38.29 ± 1.44@@56.23638226786537,14.48 ± 4.70 / 53.12 ± 2.46@@14.476583350571563,68.24 ± 0.88 / 43.97 ± 1.29@@68.24403290237703,64.84 ± 0.19 / 15.33 ± 0.18@@64.84349252656102,54.83 ± 2.07 / 64.53 ± 1.68@@54.83391719715519,37.65 ± 1.83 / 50.08 ± 1.32@@37.65488321089415,48.70 ± 2.17 / 60.31 ± 1.63@@48.69837911793665,63.59 ± 1.19 / 40.43 ± 1.07@@63.58516634224978,17.35 ± 5.49 / 58.03 ± 2.67@@17.35234389879254,60.57 ± 1.32 / 28.99 ± 1.25@@60.57362641270551,61.86 ± 0.35 / 11.00 ± 0.16@@61.864193876972415,52.31 ± 2.52 / 63.05 ± 2.14@@52.310977408691386,27.35 ± 2.01 / 39.57 ± 1.40@@27.350850937053046,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.6.1.dev0@@150601,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/NorwAI/NorwAI-Mixtral-8x7B-instruct'>NorwAI/NorwAI-Mixtral-8x7B-instruct (few-shot)</a>,🧠,2.14@@2.14,1.97@@1.97,2.25@@2.25,2.20@@2.20,46997647360.0,67993.0,32768.0,✓,✗,93.28 ± 0.71 / 96.62 ± 0.36@@93.28338252313782,51.13 ± 2.08 / 47.86 ± 2.38@@51.12587501749275,37.26 ± 2.01 / 65.48 ± 2.17@@37.26430203436317,73.09 ± 0.80 / 41.62 ± 1.81@@73.09428099341382,67.50 ± 0.29 / 23.47 ± 0.38@@67.50155167712364,45.64 ± 1.14 / 58.94 ± 0.90@@45.639446489789634,36.95 ± 1.20 / 52.52 ± 0.93@@36.9518612141067,45.51 ± 1.18 / 48.23 ± 0.79@@45.51286329627949,61.86 ± 3.00 / 51.44 ± 1.97@@61.85563385026287,12.72 ± 3.78 / 49.95 ± 4.52@@12.719966088517449,68.44 ± 1.28 / 44.84 ± 3.57@@68.44421870809921,68.08 ± 0.28 / 25.52 ± 0.53@@68.08297582174418,47.00 ± 0.95 / 60.15 ± 0.69@@47.00407670415826,31.05 ± 1.12 / 47.93 ± 0.95@@31.04835229661667,33.19 ± 3.51 / 49.92 ± 3.26@@33.189572418115766,55.66 ± 2.22 / 51.98 ± 1.80@@55.663918220158195,12.88 ± 4.77 / 40.82 ± 3.54@@12.88165454648516,64.13 ± 3.67 / 36.32 ± 5.20@@64.13142417390738,62.77 ± 0.25 / 19.74 ± 0.57@@62.768865441757946,45.98 ± 0.73 / 59.34 ± 0.60@@45.98497731398947,37.50 ± 1.46 / 52.54 ± 1.15@@37.49819548941545,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct'>meta-llama/Meta-Llama-3-8B-Instruct (few-shot)</a>,📝,2.15@@2.15,2.14@@2.14,2.24@@2.24,2.07@@2.07,8030261248.0,128256.0,8192.0,✓,✗,94.00 ± 0.55 / 96.99 ± 0.28@@93.99866107315674,51.73 ± 2.12 / 48.93 ± 2.32@@51.72836065339808,30.18 ± 1.52 / 59.37 ± 1.74@@30.183398354983066,63.73 ± 1.04 / 31.30 ± 1.14@@63.7315928489136,66.56 ± 0.08 / 17.99 ± 0.20@@66.55538102204446,38.18 ± 0.77 / 53.34 ± 0.61@@38.17597466208188,38.56 ± 1.27 / 53.44 ± 1.01@@38.562902290932776,44.88 ± 0.92 / 47.45 ± 0.55@@44.882481232319726,71.52 ± 1.48 / 60.24 ± 1.39@@71.52064562787504,19.44 ± 2.50 / 57.20 ± 2.36@@19.439690594544025,64.49 ± 0.89 / 37.75 ± 1.53@@64.48544143358012,66.11 ± 0.23 / 19.13 ± 0.61@@66.10665253203479,37.58 ± 1.29 / 52.98 ± 0.94@@37.582042709554045,35.37 ± 1.70 / 50.85 ± 1.40@@35.36739796632326,45.09 ± 1.60 / 61.56 ± 1.45@@45.087157100361765,66.43 ± 1.56 / 61.82 ± 1.35@@66.4313334368703,18.95 ± 2.76 / 56.29 ± 1.43@@18.95154266625873,55.12 ± 0.62 / 20.80 ± 1.46@@55.12258124779489,63.41 ± 0.07 / 14.18 ± 0.24@@63.40631305836724,36.81 ± 0.72 / 51.94 ± 0.59@@36.81172689160889,36.34 ± 1.49 / 51.52 ± 1.17@@36.33530292066158,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/google/gemma-3-4b-it'>google/gemma-3-4b-it (few-shot)</a>,📝,2.16@@2.16,2.17@@2.17,2.18@@2.18,2.13@@2.13,4300079472.0,262144.0,,✓,✗,91.62 ± 0.46 / 95.79 ± 0.23@@91.61659154388416,51.33 ± 1.81 / 49.99 ± 1.81@@51.325220439489286,33.08 ± 2.04 / 65.09 ± 1.27@@33.08137920101429,63.51 ± 0.83 / 32.57 ± 0.72@@63.51114414340744,65.85 ± 0.08 / 16.03 ± 0.20@@65.85042219725437,36.50 ± 0.65 / 51.87 ± 0.45@@36.50010299626965,33.69 ± 1.67 / 49.33 ± 1.40@@33.69461023777652,57.66 ± 1.49 / 69.78 ± 1.35@@57.65752231195832,60.29 ± 1.95 / 48.70 ± 1.20@@60.292981195386616,22.76 ± 2.77 / 60.54 ± 1.34@@22.763452480200165,64.32 ± 0.67 / 39.61 ± 1.05@@64.318089074324,65.57 ± 0.10 / 17.53 ± 0.30@@65.57376650162041,36.55 ± 0.83 / 51.97 ± 0.67@@36.55172485772366,36.60 ± 1.51 / 52.09 ± 1.24@@36.604504025532144,42.62 ± 1.48 / 58.49 ± 1.39@@42.62286245771765,54.72 ± 1.27 / 48.63 ± 1.47@@54.723671468060175,22.40 ± 2.88 / 60.38 ± 1.65@@22.399527416805583,58.47 ± 0.56 / 29.65 ± 1.24@@58.4725470350798,62.40 ± 0.58 / 11.20 ± 1.23@@62.40067127509974,36.10 ± 1.06 / 51.50 ± 0.79@@36.10268248344667,36.85 ± 1.70 / 51.45 ± 1.44@@36.846055770138584,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0.dev0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B (few-shot)</a>,🧠,2.19@@2.19,2.06@@2.06,2.22@@2.22,2.28@@2.28,8030261248.0,128256.0,131072.0,✓,✗,92.16 ± 0.79 / 95.98 ± 0.42@@92.16471236547743,57.60 ± 2.49 / 55.45 ± 2.32@@57.60051802470581,30.98 ± 1.59 / 62.94 ± 2.58@@30.978757285518142,74.36 ± 1.83 / 48.69 ± 1.42@@74.3614369682979,65.97 ± 1.01 / 19.94 ± 1.43@@65.97343002154958,36.39 ± 1.09 / 51.73 ± 0.89@@36.39003682318332,29.98 ± 1.99 / 46.38 ± 1.67@@29.97802742698302,50.77 ± 2.62 / 65.98 ± 2.47@@50.77245094351953,61.22 ± 4.62 / 52.44 ± 2.68@@61.22321808132756,20.45 ± 3.09 / 57.92 ± 2.28@@20.45152944417243,70.23 ± 2.13 / 52.33 ± 3.10@@70.23480219506115,66.67 ± 0.72 / 22.68 ± 1.33@@66.66667108896945,36.32 ± 1.13 / 51.87 ± 0.95@@36.31531329012316,24.07 ± 1.56 / 41.89 ± 1.69@@24.071592840644882,34.67 ± 3.39 / 51.87 ± 3.27@@34.670487940340415,61.21 ± 2.31 / 57.38 ± 2.09@@61.20809334012927,9.47 ± 3.97 / 48.66 ± 3.91@@9.468054595131036,64.74 ± 2.16 / 39.24 ± 3.69@@64.73745735067048,62.38 ± 0.41 / 16.95 ± 0.85@@62.376056910507025,38.30 ± 0.98 / 53.31 ± 0.77@@38.304759212954444,27.10 ± 1.96 / 43.93 ± 1.63@@27.101081549038756,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.2.dev0@@150702,15.7.1.dev0@@150701,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/ibm-granite/granite-3.0-8b-base'>ibm-granite/granite-3.0-8b-base (few-shot)</a>,🧠,2.19@@2.19,2.19@@2.19,2.28@@2.28,2.10@@2.10,8170835968.0,49152.0,4096.0,✓,✗,92.91 ± 0.99 / 96.40 ± 0.52@@92.91403084876958,39.17 ± 1.56 / 36.63 ± 1.75@@39.17032998684457,32.53 ± 2.14 / 64.26 ± 2.00@@32.526067139892284,74.64 ± 1.22 / 46.85 ± 0.98@@74.64325350874137,66.95 ± 0.80 / 22.99 ± 1.09@@66.95461057272041,33.72 ± 1.22 / 49.97 ± 0.91@@33.71598252268496,32.43 ± 1.45 / 48.11 ± 1.33@@32.431383809224975,41.16 ± 1.85 / 45.35 ± 1.14@@41.159453340753046,56.40 ± 2.06 / 46.10 ± 2.30@@56.396997421816174,19.82 ± 2.93 / 57.95 ± 2.82@@19.81572940793097,72.62 ± 1.47 / 55.23 ± 2.60@@72.61555923178028,67.47 ± 0.62 / 24.37 ± 1.04@@67.4676200094109,34.24 ± 1.10 / 50.59 ± 0.79@@34.2381900502166,26.73 ± 2.94 / 44.45 ± 2.25@@26.734208107237666,46.12 ± 2.67 / 62.68 ± 3.08@@46.11908888194084,50.55 ± 0.80 / 44.30 ± 1.54@@50.548849274431284,25.47 ± 2.40 / 59.60 ± 3.39@@25.468347929407013,65.01 ± 2.12 / 38.39 ± 3.63@@65.01086114679103,62.62 ± 0.36 / 18.93 ± 0.74@@62.61768491152907,34.06 ± 0.89 / 50.41 ± 0.75@@34.05795116545526,34.31 ± 3.28 / 49.13 ± 2.79@@34.30759590451825,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/NorwAI/NorwAI-Mixtral-8x7B'>NorwAI/NorwAI-Mixtral-8x7B (few-shot)</a>,🧠,2.19@@2.19,2.03@@2.03,2.31@@2.31,2.24@@2.24,46997647360.0,67993.0,32768.0,✓,✗,94.09 ± 0.60 / 97.03 ± 0.30@@94.08546592039487,50.65 ± 1.98 / 46.30 ± 2.48@@50.651839783273914,33.15 ± 3.83 / 62.84 ± 3.99@@33.15483264712813,74.03 ± 1.59 / 47.13 ± 1.03@@74.02781632141928,66.85 ± 0.70 / 21.85 ± 1.06@@66.85223364882404,44.13 ± 1.13 / 57.26 ± 0.96@@44.12885595274389,30.62 ± 1.29 / 46.83 ± 1.25@@30.624425720650393,43.62 ± 2.03 / 46.78 ± 1.13@@43.62096524763248,67.03 ± 1.78 / 53.13 ± 2.04@@67.02647406608409,9.63 ± 3.80 / 47.82 ± 5.07@@9.633580233723436,69.70 ± 2.91 / 51.71 ± 3.27@@69.69723206341061,67.34 ± 0.82 / 24.20 ± 1.29@@67.34239242010517,44.68 ± 1.28 / 58.04 ± 0.91@@44.68216930830832,27.86 ± 1.55 / 44.51 ± 1.24@@27.86340576112375,28.20 ± 3.85 / 44.15 ± 4.01@@28.19956036641956,57.16 ± 2.75 / 53.77 ± 2.18@@57.158801213554355,18.75 ± 4.12 / 49.91 ± 4.38@@18.74759398738664,64.85 ± 4.29 / 41.06 ± 5.37@@64.84962195048486,62.17 ± 0.70 / 17.58 ± 0.89@@62.17012386841816,43.94 ± 0.87 / 57.20 ± 0.75@@43.94064087692483,30.77 ± 1.24 / 46.50 ± 1.00@@30.771134832470842,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701
<a href='https://huggingface.co/tiiuae/Falcon3-7B-Base'>tiiuae/Falcon3-7B-Base (few-shot)</a>,🧠,2.20@@2.20,2.02@@2.02,2.49@@2.49,2.10@@2.10,7455550464.0,131072.0,32768.0,✓,✗,93.15 ± 0.79 / 96.53 ± 0.40@@93.1540050231105,50.56 ± 1.92 / 46.39 ± 2.24@@50.55806069977036,36.47 ± 3.67 / 66.66 ± 2.44@@36.470911336593005,69.44 ± 2.62 / 43.51 ± 1.85@@69.44319879988234,66.28 ± 0.98 / 21.13 ± 1.22@@66.28010513522895,44.33 ± 0.93 / 57.82 ± 0.73@@44.32833933589431,35.98 ± 2.38 / 50.21 ± 2.30@@35.981538108285896,50.74 ± 2.73 / 61.51 ± 4.00@@50.741875199354446,59.12 ± 3.52 / 44.73 ± 1.73@@59.12388416463793,6.50 ± 2.72 / 37.93 ± 2.25@@6.49939083157445,67.33 ± 0.94 / 50.72 ± 1.79@@67.33437444756291,66.13 ± 0.65 / 21.89 ± 1.10@@66.12884858710459,34.54 ± 1.44 / 50.07 ± 1.09@@34.543560609985526,18.98 ± 1.91 / 37.91 ± 1.42@@18.98275999829806,41.57 ± 3.11 / 59.21 ± 2.52@@41.573073579558546,57.51 ± 1.79 / 50.82 ± 1.41@@57.51068402882943,19.22 ± 3.74 / 56.34 ± 3.04@@19.21907709336519,65.37 ± 0.93 / 41.95 ± 1.59@@65.37404818874991,61.77 ± 0.74 / 17.57 ± 0.98@@61.770339837385116,44.27 ± 1.42 / 57.61 ± 1.15@@44.27315884250212,35.17 ± 1.25 / 48.84 ± 1.21@@35.172923091705556,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/NousResearch/DeepHermes-3-Llama-3-8B-Preview'>NousResearch/DeepHermes-3-Llama-3-8B-Preview (few-shot)</a>,📝,2.24@@2.24,2.10@@2.10,2.39@@2.39,2.23@@2.23,8030261248.0,128256.0,131072.0,✓,✗,93.52 ± 0.29 / 96.74 ± 0.15@@93.5150590050902,52.56 ± 2.64 / 49.04 ± 2.67@@52.559852491019065,31.48 ± 2.52 / 63.06 ± 3.39@@31.48492748509433,68.62 ± 1.38 / 37.82 ± 0.98@@68.6235782510224,66.58 ± 0.09 / 17.58 ± 0.33@@66.57648015563609,36.44 ± 0.65 / 51.82 ± 0.51@@36.443516854147646,34.29 ± 2.11 / 49.79 ± 1.63@@34.2925985296655,42.54 ± 0.82 / 46.16 ± 0.62@@42.539517654930016,64.60 ± 1.92 / 55.52 ± 1.42@@64.59807272878568,19.79 ± 2.06 / 54.04 ± 2.62@@19.79358322959262,65.18 ± 1.41 / 44.26 ± 2.16@@65.1819873018124,65.25 ± 0.15 / 16.44 ± 0.32@@65.2499676340085,35.15 ± 1.10 / 51.06 ± 0.78@@35.15405203298626,28.16 ± 1.60 / 45.24 ± 1.31@@28.15620597531171,45.89 ± 1.46 / 63.13 ± 1.18@@45.89252863724641,60.78 ± 1.83 / 52.70 ± 2.13@@60.77804791963837,7.13 ± 1.21 / 39.21 ± 3.08@@7.130776083821953,59.77 ± 2.04 / 30.97 ± 3.64@@59.76558755954839,63.45 ± 0.08 / 13.54 ± 0.24@@63.449472927750314,36.21 ± 0.63 / 51.55 ± 0.47@@36.21080282009719,34.68 ± 1.07 / 49.60 ± 0.77@@34.68206086431311,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
