model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,sst5,conll_en,scala_en,squad,cnn_dailymail,mmlu,hellaswag,sst5_version,conll_en_version,scala_en_version,squad_version,cnn_dailymail_version,mmlu_version,hellaswag_version
<a href='https://huggingface.co/robinsmits/Qwen1.5-7B-Dutch-Chat-Sft-Bf16'>robinsmits/Qwen1.5-7B-Dutch-Chat-Sft-Bf16 (few-shot)</a>,📝,2.02@@2.02,7718948864.0,151646.0,32768.0,✗,✗,63.10 ± 1.92 / 70.11 ± 0.80@@63.09663408942636,67.52 ± 1.19 / 59.09 ± 2.64@@67.51533286465536,37.75 ± 2.52 / 67.53 ± 1.75@@37.75212056411509,82.23 ± 0.72 / 64.88 ± 1.60@@82.22711252469361,68.45 ± 0.22 / 21.67 ± 0.52@@68.44935510875075,47.66 ± 0.96 / 60.75 ± 0.72@@47.66494504695708,63.35 ± 1.62 / 72.16 ± 1.31@@63.35100776403972,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,2.03@@2.03,,,1047576.0,✓,✗,58.22 ± 2.07 / 69.32 ± 1.47@@58.21794427020921,66.56 ± 2.17 / 58.62 ± 2.03@@66.56401032355326,45.23 ± 4.26 / 71.92 ± 2.15@@45.231613435839726,74.28 ± 0.76 / 49.02 ± 1.16@@74.27698422251535,68.03 ± 0.16 / 19.46 ± 0.23@@68.02826614119112,58.84 ± 1.72 / 68.28 ± 1.32@@58.83569769397021,58.42 ± 2.46 / 68.40 ± 1.90@@58.41503581651551,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/google/gemma-2-9b'>google/gemma-2-9b (few-shot)</a>,🧠,2.04@@2.04,9241705984.0,256000.0,8192.0,✓,✗,67.65 ± 1.47 / 69.44 ± 1.45@@67.65044080797954,48.05 ± 5.68 / 45.03 ± 3.91@@48.04609111777241,44.03 ± 3.00 / 71.32 ± 1.36@@44.02719213376979,83.77 ± 1.59 / 68.93 ± 2.38@@83.76995118053581,69.45 ± 0.56 / 24.71 ± 0.41@@69.44872747582849,59.74 ± 0.90 / 69.70 ± 0.67@@59.73529891605737,53.93 ± 5.46 / 63.87 ± 5.06@@53.931116039379546,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/NousResearch/DeepHermes-3-Llama-3-8B-Preview'>NousResearch/DeepHermes-3-Llama-3-8B-Preview (few-shot)</a>,📝,2.04@@2.04,8030261248.0,128256.0,131072.0,✓,✗,66.78 ± 1.36 / 72.99 ± 0.88@@66.78363582163396,70.61 ± 2.03 / 63.98 ± 1.62@@70.61188401263148,35.16 ± 2.59 / 66.19 ± 1.79@@35.16310083984089,82.44 ± 0.83 / 66.13 ± 1.71@@82.43810800592041,69.74 ± 0.10 / 23.68 ± 0.46@@69.73712892533513,48.96 ± 1.13 / 61.31 ± 0.91@@48.963927727518765,48.14 ± 2.61 / 59.44 ± 2.34@@48.141858723317654,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/NorwAI/NorwAI-Mixtral-8x7B-instruct'>NorwAI/NorwAI-Mixtral-8x7B-instruct (few-shot)</a>,📝,2.05@@2.05,46997647360.0,67993.0,32768.0,✓,✗,69.23 ± 0.98 / 66.61 ± 1.42@@69.22749290098204,63.77 ± 2.22 / 57.86 ± 1.49@@63.769276893603454,38.49 ± 4.39 / 65.15 ± 4.44@@38.49333409009269,76.18 ± 2.59 / 57.03 ± 4.40@@76.18047791613006,70.47 ± 0.55 / 26.63 ± 0.50@@70.47030777728651,54.58 ± 0.94 / 65.69 ± 0.71@@54.57634740506755,47.93 ± 3.99 / 59.68 ± 3.43@@47.934064893100086,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-8b-001'>gemini/gemini-1.5-flash-8b-001 (zero-shot, val)</a>",📝,2.06@@2.06,8000000000.0,256128.0,1048576.0,✓,✗,60.88 ± 1.23 / 68.24 ± 1.14@@60.87925994382145,74.12 ± 1.05 / 57.88 ± 1.54@@74.12086341933586,38.49 ± 3.49 / 69.15 ± 1.76@@38.492861029336304,74.49 ± 1.03 / 49.08 ± 1.38@@74.49308439189517,68.13 ± 0.15 / 20.27 ± 0.21@@68.12560623977333,59.10 ± 2.25 / 67.81 ± 1.71@@59.10246539902655,45.54 ± 2.24 / 55.31 ± 1.65@@45.536631691384,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
"<a href='https://huggingface.co/mlabonne/AlphaMonarch-7B'>mlabonne/AlphaMonarch-7B (few-shot, val)</a>",📝,2.07@@2.07,7241732096.0,32000.0,8192.0,✗,✓,63.77 ± 2.55 / 71.13 ± 1.83@@63.76523818260609,69.19 ± 2.03 / 55.64 ± 3.53@@69.1884689440938,28.43 ± 3.97 / 62.28 ± 1.86@@28.432824149504604,71.79 ± 1.25 / 44.39 ± 2.68@@71.78505534498382,69.77 ± 0.76 / 24.60 ± 1.13@@69.77005927124992,46.53 ± 2.54 / 59.53 ± 1.87@@46.52537435374682,71.36 ± 3.95 / 78.36 ± 2.91@@71.35613521174086,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502
<a href='https://huggingface.co/ai21labs/Jamba-v0.1'>ai21labs/Jamba-v0.1 (few-shot)</a>,🧠,2.07@@2.07,51570323328.0,65536.0,262144.0,✓,✗,67.82 ± 1.01 / 68.20 ± 1.18@@67.8167685538628,57.58 ± 4.03 / 52.34 ± 2.88@@57.58450805049835,47.71 ± 1.71 / 71.79 ± 1.06@@47.705382325614316,82.55 ± 1.82 / 69.85 ± 2.87@@82.54725143528795,69.49 ± 0.36 / 23.58 ± 0.73@@69.49049339600606,51.82 ± 0.88 / 63.82 ± 0.65@@51.82363578562443,32.72 ± 2.68 / 47.92 ± 2.03@@32.71841810137091,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B (few-shot)</a>,📝,2.10@@2.10,3606752256.0,128256.0,131072.0,✓,✗,63.59 ± 1.02 / 66.45 ± 0.75@@63.58813453563263,64.54 ± 1.29 / 52.72 ± 1.66@@64.54269826745407,35.84 ± 1.73 / 65.79 ± 0.81@@35.84390616247967,78.85 ± 1.59 / 63.22 ± 2.28@@78.85110889648156,68.33 ± 0.09 / 20.92 ± 0.18@@68.3335386015824,46.89 ± 0.85 / 59.98 ± 0.66@@46.89254898105501,54.90 ± 1.63 / 65.28 ± 1.42@@54.90434242383396,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/tiiuae/Falcon3-7B-Base'>tiiuae/Falcon3-7B-Base (few-shot)</a>,🧠,2.10@@2.10,7455550464.0,131072.0,32768.0,✓,✗,65.53 ± 1.00 / 70.45 ± 0.97@@65.52735144261071,67.48 ± 1.34 / 62.26 ± 0.93@@67.48227809902582,36.79 ± 2.82 / 65.93 ± 3.27@@36.7908835630508,83.85 ± 1.41 / 72.52 ± 2.12@@83.84907640476204,67.15 ± 0.72 / 22.90 ± 0.75@@67.15059686714085,54.50 ± 1.21 / 65.62 ± 0.89@@54.49626651824722,39.29 ± 2.72 / 51.63 ± 2.42@@39.28716894512826,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E'>meta-llama/Llama-4-Scout-17B-16E (few-shot)</a>,📝,2.10@@2.10,108641793536.0,200000.0,,✓,✗,68.17 ± 0.64 / 66.51 ± 1.44@@68.16726750969305,76.85 ± 2.09 / 74.18 ± 1.25@@76.84507738134465,42.04 ± 1.56 / 69.51 ± 1.45@@42.04217762511596,30.18 ± 3.76 / 0.00 ± 0.00@@30.183564737117866,66.76 ± 0.62 / 18.08 ± 0.29@@66.76217557949712,66.46 ± 1.16 / 74.69 ± 0.94@@66.46071916056256,70.79 ± 2.24 / 77.72 ± 1.82@@70.79288177866484,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://huggingface.co/microsoft/Phi-3-mini-128k-instruct'>microsoft/Phi-3-mini-128k-instruct (few-shot)</a>,📝,2.12@@2.12,3821079552.0,32064.0,131072.0,✓,✗,46.77 ± 4.36 / 60.99 ± 2.15@@46.77003512296369,64.09 ± 0.96 / 49.92 ± 2.47@@64.08915976009226,31.62 ± 2.25 / 63.73 ± 1.79@@31.618677142323655,85.72 ± 0.57 / 71.25 ± 0.83@@85.71923615061152,69.54 ± 0.57 / 24.79 ± 0.89@@69.54450786477537,57.66 ± 1.17 / 68.22 ± 0.88@@57.66433944202838,72.26 ± 0.86 / 79.10 ± 0.64@@72.26351142944056,12.9.1@@120901,12.9.1@@120901,12.9.1@@120901,12.9.1@@120901,12.10.0@@121000,12.10.0@@121000,12.10.0@@121000
<a href='https://huggingface.co/neuralmagic/Sparse-Llama-3.1-8B-2of4'>neuralmagic/Sparse-Llama-3.1-8B-2of4 (few-shot)</a>,🧠,2.12@@2.12,8030261248.0,128256.0,131072.0,✓,✗,68.49 ± 0.77 / 58.77 ± 0.44@@68.49265575676759,59.28 ± 0.97 / 55.81 ± 1.40@@59.27953611612179,21.95 ± 3.10 / 49.75 ± 3.85@@21.946252077637162,87.44 ± 1.32 / 78.16 ± 2.12@@87.4449956519004,69.54 ± 0.30 / 26.96 ± 0.56@@69.54018900563824,46.35 ± 0.95 / 59.11 ± 0.72@@46.34750040997469,60.61 ± 4.03 / 67.80 ± 3.65@@60.61276315081179,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200
<a href='https://huggingface.co/google/gemma-3-4b-it'>google/gemma-3-4b-it (few-shot)</a>,📝,2.14@@2.14,4300079472.0,262144.0,,✓,✗,67.06 ± 0.37 / 68.83 ± 0.67@@67.05641326881921,66.82 ± 1.09 / 60.31 ± 1.92@@66.8235760285691,39.58 ± 1.43 / 68.11 ± 0.71@@39.58387316912314,75.48 ± 0.83 / 51.24 ± 1.30@@75.47511794541136,67.74 ± 0.09 / 20.12 ± 0.22@@67.74340106087038,43.90 ± 0.67 / 57.15 ± 0.53@@43.904802572537626,45.78 ± 1.94 / 58.52 ± 1.65@@45.78156478827845,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/mgoin/Nemotron-4-340B-Instruct-hf-FP8'>mgoin/Nemotron-4-340B-Instruct-hf-FP8 (few-shot)</a>,📝,2.14@@2.14,341029195776.0,256000.0,4096.0,✓,✗,67.01 ± 2.29 / 72.21 ± 1.61@@67.01252125533561,51.92 ± 11.90 / 40.30 ± 8.36@@51.924983610296,45.98 ± 7.10 / 68.89 ± 6.52@@45.9802060759188,48.37 ± 9.50 / 30.12 ± 6.60@@48.36688389601433,65.82 ± 1.56 / 18.90 ± 1.25@@65.81534918499528,60.71 ± 5.40 / 69.77 ± 4.90@@60.71347939365563,77.14 ± 11.59 / 81.19 ± 10.68@@77.13973105090325,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B (few-shot)</a>,🧠,2.16@@2.16,8030261248.0,128256.0,131072.0,✓,✗,65.11 ± 1.38 / 66.94 ± 1.11@@65.11344142844646,66.42 ± 3.95 / 61.77 ± 2.66@@66.42051104142685,32.77 ± 2.52 / 63.81 ± 2.31@@32.77169336346975,83.15 ± 1.94 / 71.04 ± 2.76@@83.15437551621999,67.90 ± 0.54 / 21.48 ± 0.75@@67.89822834471124,48.92 ± 0.87 / 61.50 ± 0.59@@48.92494583445518,35.68 ± 4.32 / 50.71 ± 3.16@@35.675880074313966,14.4.0.dev0@@140400,15.0.0@@150000,15.0.0@@150000,14.3.0@@140300,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B (few-shot)</a>,🤔,2.17@@2.17,2031739904.0,151936.0,40960.0,✓,✗,61.64 ± 0.96 / 66.33 ± 0.84@@61.642469662944244,71.51 ± 0.91 / 55.11 ± 0.82@@71.5066922555531,35.22 ± 1.48 / 65.39 ± 1.03@@35.22379655302213,76.66 ± 0.58 / 62.27 ± 0.94@@76.66214368971661,67.43 ± 0.08 / 18.25 ± 0.19@@67.43067839182913,56.71 ± 1.27 / 67.53 ± 1.00@@56.70574169270911,34.13 ± 1.04 / 48.29 ± 0.71@@34.12930072156002,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701
<a href='https://huggingface.co/ibm-granite/granite-3.0-8b-base'>ibm-granite/granite-3.0-8b-base (few-shot)</a>,🧠,2.17@@2.17,8170835968.0,49152.0,4096.0,✓,✗,66.89 ± 1.11 / 69.52 ± 0.94@@66.89404773914083,52.34 ± 1.91 / 50.21 ± 1.17@@52.342863038122154,36.60 ± 2.37 / 67.85 ± 1.19@@36.60484943946538,83.98 ± 0.88 / 70.68 ± 1.48@@83.98406140974859,68.64 ± 0.73 / 24.62 ± 0.95@@68.63709172925155,46.25 ± 1.16 / 59.54 ± 0.91@@46.24780915262511,52.19 ± 2.08 / 61.83 ± 1.94@@52.18686030358928,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/ibm-granite/granite-3.0-2b-instruct'>ibm-granite/granite-3.0-2b-instruct (few-shot)</a>,📝,2.17@@2.17,2634201088.0,49155.0,4097.0,✓,✗,67.54 ± 1.33 / 66.16 ± 1.54@@67.53794046720583,61.97 ± 1.74 / 54.58 ± 1.53@@61.96952446703621,31.70 ± 2.00 / 65.43 ± 1.09@@31.695865161692378,78.74 ± 0.76 / 59.78 ± 1.66@@78.7377290852903,68.61 ± 0.41 / 24.36 ± 0.58@@68.61268707434647,39.82 ± 0.91 / 54.59 ± 0.66@@39.81859828866342,57.51 ± 0.92 / 67.67 ± 0.71@@57.50531215881459,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/alpindale/Mistral-7B-v0.2-hf'>alpindale/Mistral-7B-v0.2-hf (few-shot)</a>,🧠,2.18@@2.18,7241732096.0,32000.0,32768.0,✓,✗,67.10 ± 0.81 / 70.66 ± 0.76@@67.10053625696413,61.02 ± 2.70 / 55.57 ± 2.50@@61.02139059490319,29.82 ± 5.18 / 62.86 ± 4.72@@29.824634225924456,84.26 ± 1.30 / 73.50 ± 1.67@@84.26255013558469,69.02 ± 0.55 / 23.87 ± 0.72@@69.01542140665697,47.13 ± 1.24 / 60.08 ± 0.92@@47.13468151279616,35.88 ± 4.42 / 49.95 ± 3.87@@35.87645458261558,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-8B'>meta-llama/Meta-Llama-3-8B (few-shot)</a>,🧠,2.18@@2.18,8030261248.0,128256.0,8192.0,✓,✗,64.30 ± 0.65 / 69.26 ± 0.50@@64.2991403384324,66.31 ± 2.09 / 58.68 ± 1.95@@66.31350421914368,28.18 ± 3.96 / 58.97 ± 4.03@@28.18466331308746,80.92 ± 2.78 / 68.96 ± 4.12@@80.9235572814031,67.90 ± 0.49 / 21.54 ± 0.57@@67.90118638440617,52.54 ± 0.88 / 64.26 ± 0.66@@52.54111606662721,41.19 ± 4.40 / 54.78 ± 3.62@@41.19308927043558,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,14.3.0@@140300,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
<a href='https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct'>meta-llama/Llama-3.2-3B-Instruct (few-shot)</a>,📝,2.22@@2.22,3212749824.0,128256.0,131072.0,✓,✗,65.87 ± 0.80 / 66.20 ± 1.05@@65.86928803561618,67.62 ± 1.26 / 54.45 ± 1.68@@67.6190738052729,31.53 ± 1.62 / 64.57 ± 0.92@@31.526204945934605,75.44 ± 0.96 / 51.79 ± 1.87@@75.44156905849043,68.45 ± 0.08 / 21.64 ± 0.24@@68.45067988790106,41.70 ± 1.04 / 56.34 ± 0.80@@41.70065115795986,43.13 ± 1.11 / 57.22 ± 0.85@@43.127411373567924,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/occiglot/occiglot-7b-de-en-instruct'>occiglot/occiglot-7b-de-en-instruct (few-shot)</a>,📝,2.22@@2.22,7241748480.0,32002.0,32768.0,✗,✗,66.54 ± 1.42 / 69.26 ± 0.83@@66.54025900430241,60.90 ± 3.17 / 53.69 ± 2.67@@60.89682076275611,23.60 ± 3.72 / 57.65 ± 4.08@@23.600316518984844,87.25 ± 0.61 / 75.14 ± 1.51@@87.25073312544166,68.96 ± 0.53 / 25.60 ± 0.80@@68.96243289622362,42.53 ± 0.85 / 56.25 ± 0.72@@42.526681690907225,41.79 ± 3.18 / 54.82 ± 2.83@@41.788456525194526,12.3.1@@120301,12.5.2@@120502,12.3.1@@120301,12.4.0@@120400,12.4.0@@120400,12.3.1@@120301,12.3.1@@120301
<a href='https://huggingface.co/ibm-granite/granite-3.0-2b-base'>ibm-granite/granite-3.0-2b-base (few-shot)</a>,🧠,2.22@@2.22,2533525504.0,49152.0,4097.0,✓,✗,67.81 ± 1.00 / 61.89 ± 1.51@@67.80539710335268,57.78 ± 1.91 / 50.30 ± 2.29@@57.78403194607525,22.81 ± 2.71 / 60.07 ± 2.49@@22.805939258869408,83.67 ± 0.66 / 72.90 ± 1.16@@83.67295820548856,67.33 ± 0.41 / 22.76 ± 0.60@@67.3284364475694,37.80 ± 0.99 / 53.52 ± 0.78@@37.79575345330958,67.23 ± 0.96 / 75.34 ± 0.74@@67.23335981383785,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/CohereForAI/aya-23-8B'>CohereForAI/aya-23-8B (few-shot)</a>,🧠,2.22@@2.22,8028033024.0,256000.0,8192.0,✗,✗,68.27 ± 0.53 / 60.37 ± 0.57@@68.27113632113297,56.16 ± 3.59 / 51.12 ± 2.58@@56.15696562749275,23.82 ± 2.16 / 60.83 ± 1.63@@23.81722970703162,85.11 ± 0.73 / 74.23 ± 1.31@@85.11086044924993,72.14 ± 0.13 / 29.83 ± 0.23@@72.14177301342716,33.04 ± 1.30 / 49.51 ± 0.98@@33.04445024682623,55.10 ± 1.39 / 64.78 ± 1.34@@55.10282045991699,14.1.2@@140102,14.0.4@@140004,14.1.2@@140102,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Llama-70B'>deepseek-ai/DeepSeek-R1-Distill-Llama-70B (few-shot)</a>,🤔,2.24@@2.24,70553706496.0,128256.0,131072.0,✓,✗,67.70 ± 1.04 / 71.18 ± 0.82@@67.70235251677474,79.02 ± 0.88 / 67.81 ± 1.90@@79.02449347300617,46.81 ± 1.57 / 70.25 ± 1.08@@46.80637350642581,74.12 ± 1.34 / 57.52 ± 1.75@@74.12357791129301,68.15 ± 0.15 / 19.83 ± 0.26@@68.14944814716,11.85 ± 4.48 / 26.44 ± 2.25@@11.85146875742031,29.38 ± 4.62 / 39.75 ± 4.03@@29.38120618144304,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/NorwAI/NorwAI-Mixtral-8x7B'>NorwAI/NorwAI-Mixtral-8x7B (few-shot)</a>,🧠,2.24@@2.24,46997647360.0,67993.0,32768.0,✓,✗,66.47 ± 1.61 / 69.35 ± 1.31@@66.46795760374461,63.12 ± 2.34 / 56.38 ± 1.23@@63.11840046434839,38.82 ± 3.65 / 67.96 ± 2.36@@38.82409441739253,84.07 ± 1.48 / 71.49 ± 2.25@@84.06592629876573,57.65 ± 5.62 / 18.79 ± 1.79@@57.64527172679663,54.57 ± 1.21 / 65.11 ± 0.83@@54.57183103767546,30.13 ± 5.52 / 42.55 ± 4.99@@30.12714833561525,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.3.0@@140300,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/nvidia/mistral-nemo-minitron-8b-instruct'>nvidia/mistral-nemo-minitron-8b-instruct (few-shot)</a>,📝,2.26@@2.26,8414105600.0,131072.0,8192.0,✓,✗,65.74 ± 1.14 / 69.65 ± 0.96@@65.73987368975855,72.63 ± 1.76 / 63.75 ± 1.29@@72.6334724896254,43.43 ± 1.62 / 69.19 ± 1.28@@43.42640714597999,20.81 ± 0.82 / 0.00 ± 0.00@@20.813755885591387,66.76 ± 0.07 / 17.17 ± 0.16@@66.75619106099475,60.00 ± 0.90 / 69.95 ± 0.66@@59.995015659181426,69.36 ± 1.38 / 76.63 ± 1.08@@69.35558861757198,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101
<a href='https://huggingface.co/tiiuae/Falcon3-3B-Instruct'>tiiuae/Falcon3-3B-Instruct (few-shot)</a>,📝,2.27@@2.27,3227655168.0,131072.0,32768.0,✓,✗,60.28 ± 1.04 / 63.55 ± 0.78@@60.27666609041209,65.13 ± 1.36 / 53.50 ± 1.99@@65.13128597101169,32.38 ± 1.01 / 65.62 ± 0.55@@32.37854985049379,82.90 ± 1.05 / 70.40 ± 1.66@@82.89706518289714,67.74 ± 0.30 / 22.98 ± 0.47@@67.73649914801354,38.33 ± 0.86 / 53.72 ± 0.65@@38.33124080110571,41.75 ± 1.17 / 56.03 ± 0.89@@41.75267227859237,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
<a href='https://huggingface.co/microsoft/Phi-3-mini-4k-instruct'>microsoft/Phi-3-mini-4k-instruct (few-shot)</a>,📝,2.28@@2.28,3821079552.0,32064.0,2047.0,✓,✗,66.77 ± 0.54 / 70.41 ± 0.88@@66.77227334054061,68.69 ± 1.08 / 58.53 ± 1.82@@68.68743024529978,42.14 ± 2.29 / 70.53 ± 0.99@@42.13681140217744,81.26 ± 1.09 / 63.71 ± 1.70@@81.26176677463555,45.05 ± 10.76 / 15.91 ± 3.64@@45.050626855372684,56.92 ± 0.88 / 67.56 ± 0.66@@56.9165096773152,55.78 ± 0.98 / 65.88 ± 0.81@@55.78092891362394,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct (few-shot)</a>,📝,2.29@@2.29,9152319488.0,128000.0,4096.0,✗,✗,65.29 ± 1.11 / 68.22 ± 1.09@@65.29148169694783,59.76 ± 2.21 / 46.66 ± 1.89@@59.76486456502064,31.59 ± 1.58 / 65.36 ± 0.69@@31.586013400323225,79.46 ± 1.84 / 65.73 ± 2.79@@79.45763004639359,69.01 ± 0.06 / 22.00 ± 0.24@@69.0051787198172,38.94 ± 0.96 / 53.89 ± 0.72@@38.94108892982951,34.78 ± 1.84 / 49.17 ± 1.47@@34.78115261336365,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/Qwen/Qwen1.5-4B'>Qwen/Qwen1.5-4B (few-shot)</a>,📝,2.29@@2.29,3950369280.0,151936.0,32768.0,✓,✗,60.55 ± 1.54 / 68.53 ± 0.71@@60.54999120523604,55.45 ± 1.61 / 49.72 ± 1.27@@55.450083248225404,28.60 ± 3.36 / 60.31 ± 4.06@@28.595211607975223,82.68 ± 0.52 / 70.49 ± 0.74@@82.67936585762361,68.67 ± 0.11 / 21.65 ± 0.21@@68.6734804075968,39.82 ± 0.76 / 54.62 ± 0.57@@39.82097978784199,51.82 ± 1.03 / 63.79 ± 0.79@@51.82290337591093,10.0.1@@100001,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100
<a href='https://huggingface.co/RuterNorway/Llama-2-13b-chat-norwegian'>RuterNorway/Llama-2-13b-chat-norwegian (few-shot)</a>,📝,2.29@@2.29,,32000.0,4096.0,✗,✗,64.14 ± 1.61 / 68.00 ± 1.67@@64.13576628560736,64.93 ± 2.24 / 57.95 ± 1.24@@64.92669799670227,28.08 ± 3.86 / 62.71 ± 2.98@@28.082191077363195,79.57 ± 0.96 / 62.09 ± 1.68@@79.57016562948624,68.84 ± 0.52 / 24.99 ± 0.80@@68.84363232675241,36.49 ± 0.82 / 52.02 ± 0.62@@36.489623989015904,38.09 ± 2.61 / 52.60 ± 2.19@@38.08573978038537,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301
<a href='https://ollama.com/library/gemma3:4b-it-q4_K_M'>ollama_chat/gemma3:4b-it-q4_K_M (few-shot)</a>,📝,2.29@@2.29,,,,✓,✗,66.22 ± 0.72 / 68.51 ± 0.85@@66.22442333684077,65.11 ± 1.39 / 58.35 ± 0.87@@65.11218306863528,37.20 ± 0.96 / 65.38 ± 1.23@@37.20338547650247,72.28 ± 1.06 / 47.96 ± 1.55@@72.28068091986741,67.17 ± 0.10 / 20.00 ± 0.25@@67.16741108364658,39.11 ± 0.66 / 53.27 ± 0.72@@39.112818976727105,33.10 ± 2.31 / 48.60 ± 2.26@@33.096458194674696,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301
