model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,dbrd,conll_nl,scala_nl,squad_nl,wiki_lingua_nl,mmlu_nl,hellaswag_nl,dbrd_version,conll_nl_version,scala_nl_version,squad_nl_version,wiki_lingua_nl_version,mmlu_nl_version,hellaswag_nl_version
<a href='https://huggingface.co/PleIAs/Pleias-350m-Preview'>PleIAs/Pleias-350m-Preview (few-shot)</a>,🧠,4.09@@4.09,353424384.0,65536.0,2048.0,✓,✗,6.36 ± 3.84 / 37.60 ± 4.19@@6.362900432701357,24.47 ± 2.03 / 26.64 ± 2.70@@24.469124816783367,-2.03 ± 1.35 / 39.46 ± 4.09@@-2.033495373675181,20.72 ± 1.47 / 11.22 ± 1.64@@20.717268362811133,44.43 ± 2.69 / 7.67 ± 0.47@@44.427107695519226,-0.11 ± 1.20 / 24.70 ± 0.92@@-0.10585798522889267,-0.01 ± 1.24 / 24.56 ± 0.75@@-0.010194097204389175,15.7.1.dev0@@150701,14.0.4@@140004,14.1.2@@140102,14.3.0@@140300,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/infly/OpenCoder-1.5B-Base'>infly/OpenCoder-1.5B-Base (few-shot)</a>,📝,4.15@@4.15,1905650960.0,96640.0,4096.0,✓,✗,0.23 ± 1.61 / 49.47 ± 1.03@@0.23387169665329602,23.47 ± 5.73 / 20.26 ± 4.51@@23.470771106987183,-0.52 ± 1.01 / 39.20 ± 3.52@@-0.5183441188882475,10.34 ± 1.39 / 0.05 ± 0.05@@10.339658337813612,47.43 ± 2.39 / 6.43 ± 1.13@@47.42979291440861,0.35 ± 1.45 / 25.35 ± 1.03@@0.34718511741401875,-0.14 ± 0.70 / 24.69 ± 0.61@@-0.13859336728311947,15.7.1.dev0@@150701,14.4.0@@140400,14.4.0@@140400,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-356m'>AI-Sweden-Models/gpt-sw3-356m (few-shot)</a>,🧠,4.23@@4.23,470607872.0,64000.0,2048.0,✓,✗,0.38 ± 6.17 / 47.88 ± 3.37@@0.38157336368724254,19.35 ± 2.65 / 20.39 ± 3.21@@19.353737746719506,0.91 ± 1.59 / 42.12 ± 4.43@@0.9081216248245307,10.63 ± 2.20 / 6.64 ± 2.04@@10.629827579680981,42.98 ± 7.07 / 6.68 ± 1.48@@42.98297548593837,0.20 ± 0.83 / 24.69 ± 0.83@@0.20145343153098144,-0.02 ± 0.02 / 23.75 ± 0.27@@-0.02164203424450395,15.7.1.dev0@@150701,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/RJuro/kanelsnegl-v0.1'>RJuro/kanelsnegl-v0.1 (few-shot)</a>,📝,4.27@@4.27,7241732096.0,32000.0,512.0,✓,✗,-13.48 ± 3.98 / 43.10 ± 2.00@@-13.48136636886351,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 33.34 ± 0.31@@0.0,2.95 ± 0.30 / 0.00 ± 0.00@@2.948151059021381,60.14 ± 0.15 / 10.07 ± 0.16@@60.14197096010321,0.11 ± 0.64 / 24.32 ± 0.78@@0.1144166076635578,-0.13 ± 0.82 / 23.60 ± 0.33@@-0.1265227162704044,15.7.1.dev0@@150701,9.3.1@@90301,9.3.1@@90301,14.3.0@@140300,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-356m-instruct'>AI-Sweden-Models/gpt-sw3-356m-instruct (few-shot)</a>,📝,4.28@@4.28,470607872.0,64000.0,2048.0,✓,✗,2.62 ± 2.97 / 34.77 ± 1.32@@2.6207966538854994,13.63 ± 1.44 / 15.78 ± 1.61@@13.62825936600515,0.50 ± 0.92 / 34.69 ± 1.59@@0.495611895268078,6.91 ± 0.71 / 0.00 ± 0.00@@6.912042654764508,39.39 ± 5.90 / 3.57 ± 0.56@@39.39039566619613,-0.06 ± 1.07 / 24.84 ± 0.75@@-0.060330807865673484,0.06 ± 0.21 / 23.87 ± 0.32@@0.06081179483597424,15.7.1.dev0@@150701,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-126m-instruct'>AI-Sweden-Models/gpt-sw3-126m-instruct (few-shot)</a>,📝,4.31@@4.31,186112512.0,64000.0,2048.0,✓,✗,0.67 ± 1.48 / 34.03 ± 0.46@@0.6714166044580719,10.65 ± 1.84 / 15.07 ± 1.73@@10.646035564600705,-0.67 ± 1.40 / 36.37 ± 2.44@@-0.6653786372208965,5.84 ± 0.28 / 0.01 ± 0.01@@5.841196270261226,43.04 ± 7.32 / 6.90 ± 1.39@@43.04193631243834,-1.41 ± 1.25 / 24.17 ± 0.82@@-1.4133396403236418,0.69 ± 0.82 / 24.61 ± 0.79@@0.6882640865992257,15.7.1.dev0@@150701,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-126m'>AI-Sweden-Models/gpt-sw3-126m (few-shot)</a>,🧠,4.33@@4.33,186112512.0,64000.0,2048.0,✓,✗,-1.60 ± 3.74 / 45.17 ± 2.80@@-1.599958559786954,7.20 ± 2.92 / 11.55 ± 3.79@@7.1964039772645805,1.74 ± 1.61 / 43.84 ± 3.04@@1.737648442698815,2.72 ± 1.08 / 0.60 ± 0.35@@2.717223820910548,45.22 ± 7.16 / 7.01 ± 1.51@@45.22272783047811,-0.09 ± 0.90 / 25.22 ± 0.58@@-0.08796268369923863,-0.51 ± 0.53 / 24.24 ± 0.61@@-0.5064366364318919,15.7.1.dev0@@150701,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/NorwAI/NorwAI-Mistral-7B-pretrain'>NorwAI/NorwAI-Mistral-7B-pretrain (few-shot)</a>,🧠,4.38@@4.38,7536586752.0,67993.0,4224.0,✓,✗,-5.02 ± 2.05 / 43.41 ± 1.71@@-5.015137342354271,3.80 ± 1.23 / 4.24 ± 1.19@@3.79532872983951,-0.37 ± 0.55 / 33.40 ± 0.35@@-0.3664862706084941,3.88 ± 1.07 / 0.90 ± 0.52@@3.877696211297277,45.25 ± 4.22 / 6.15 ± 1.03@@45.25244690339605,-0.98 ± 0.91 / 24.82 ± 0.88@@-0.9801820602410191,-0.05 ± 1.07 / 24.51 ± 0.88@@-0.046323903044044185,15.7.1.dev0@@150701,12.10.4@@121004,12.10.4@@121004,14.3.0@@140300,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004
<a href='https://huggingface.co/ssmits/Falcon2-5.5B-multilingual'>ssmits/Falcon2-5.5B-multilingual (few-shot)</a>,🧠,4.46@@4.46,5465415680.0,65024.0,8192.0,✓,✓,-4.94 ± 2.46 / 33.96 ± 0.34@@-4.943771925086056,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 33.34 ± 0.31@@0.0,0.03 ± 0.01 / 0.00 ± 0.00@@0.034852925976128275,43.74 ± 0.57 / 0.22 ± 0.04@@43.74085470830323,0.32 ± 0.67 / 24.79 ± 0.61@@0.31864367155370676,1.73 ± 1.07 / 26.61 ± 0.61@@1.7257433700925466,15.7.1.dev0@@150701,13.0.0@@130000,13.0.0@@130000,14.3.0@@140300,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/ChocoLlama/ChocoLlama-2-7B-tokentrans-instruct'>ChocoLlama/ChocoLlama-2-7B-tokentrans-instruct (few-shot)</a>,📝,4.62@@4.62,6885871616.0,50000.0,4096.0,✗,✗,0.00 ± 0.00 / 33.75 ± 0.22@@0.0,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 33.36 ± 0.27@@0.0,2.07 ± 0.64 / 0.00 ± 0.00@@2.06655668111899,29.11 ± 9.35 / 4.90 ± 1.55@@29.10593527471065,0.00 ± 0.00 / 24.53 ± 0.70@@0.0,0.00 ± 0.00 / 23.75 ± 0.27@@0.0,15.7.1.dev0@@150701,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
<a href='https://huggingface.co/ai-forever/mGPT'>ai-forever/mGPT (few-shot)</a>,🧠,4.62@@4.62,,100000.0,1024.0,✓,✗,-2.24 ± 2.39 / 36.07 ± 1.77@@-2.2373973637368976,0.11 ± 0.21 / 0.27 ± 0.53@@0.10626992561105209,-0.97 ± 1.56 / 34.83 ± 1.94@@-0.97305251724738,2.04 ± 0.12 / 0.09 ± 0.13@@2.0357230200742755,30.20 ± 0.68 / 2.14 ± 0.04@@30.20018519644509,1.45 ± 0.84 / 24.91 ± 0.60@@1.4532888296130242,-0.56 ± 0.80 / 23.53 ± 0.49@@-0.5614715178393421,15.7.1.dev0@@150701,9.3.1@@90301,11.0.0@@110000,14.3.0@@140300,12.0.0@@120000,11.0.0@@110000,11.0.0@@110000
<a href='https://huggingface.co/openai-community/gpt2-large'>openai-community/gpt2-large (few-shot)</a>,🧠,4.89@@4.89,811778816.0,50257.0,1024.0,✓,✗,0.00 ± 0.00 / 33.75 ± 0.22@@0.0,15.16 ± 1.87 / 24.48 ± 2.41@@15.16222115560027,0.14 ± 0.92 / 42.91 ± 3.71@@0.13696859714428217,0.98 ± 0.81 / 0.57 ± 0.55@@0.9817314311820278,6.24 ± 6.39 / 1.25 ± 1.31@@6.238430806697579,-0.07 ± 0.64 / 24.76 ± 0.73@@-0.06649105060606131,0.00 ± 0.00 / 23.75 ± 0.27@@0.0,15.7.1.dev0@@150701,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/openai-community/gpt2-medium'>openai-community/gpt2-medium (few-shot)</a>,🧠,4.89@@4.89,379988992.0,50257.0,1024.0,✓,✗,0.00 ± 0.00 / 33.75 ± 0.22@@0.0,12.21 ± 2.10 / 19.32 ± 1.81@@12.205981748340843,0.00 ± 0.00 / 33.30 ± 0.27@@0.0,0.85 ± 0.60 / 0.48 ± 0.37@@0.8511584118174171,5.42 ± 5.30 / 1.01 ± 0.99@@5.423086792434333,-0.72 ± 1.27 / 24.45 ± 0.52@@-0.7216406517644562,0.00 ± 0.00 / 23.75 ± 0.27@@0.0,15.7.1.dev0@@150701,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/openai-community/gpt2'>openai-community/gpt2 (few-shot)</a>,🧠,4.95@@4.95,137022720.0,50257.0,1024.0,✓,✗,0.00 ± 0.00 / 33.75 ± 0.22@@0.0,7.83 ± 2.46 / 14.32 ± 2.10@@7.826038006158639,-0.88 ± 1.73 / 39.60 ± 4.34@@-0.8831200430089012,0.62 ± 0.52 / 0.29 ± 0.31@@0.6248470708461397,4.97 ± 5.02 / 0.81 ± 0.73@@4.974047301293467,-0.21 ± 0.48 / 24.86 ± 0.69@@-0.20504967551443062,0.00 ± 0.00 / 23.75 ± 0.27@@0.0,15.7.1.dev0@@150701,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/3ebdola/Dialectal-Arabic-XLM-R-Base'>3ebdola/Dialectal-Arabic-XLM-R-Base</a>,🔍,-@@100,277455362.0,250002.0,512.0,✓,✗,5.64 ± 3.86 / 47.56 ± 4.79@@5.642586195588208,44.46 ± 2.24 / 60.04 ± 1.09@@44.463941380066274,2.07 ± 1.34 / 48.42 ± 1.31@@2.072384696920978,9.42 ± 0.30 / 2.79 ± 0.33@@9.424732467902404,-@@-1,-@@-1,-@@-1,15.7.1.dev0@@150701,<9.2.0@@0,<9.2.0@@0,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/sentence-transformers/stsb-xlm-r-multilingual'>sentence-transformers/stsb-xlm-r-multilingual</a>,🔍,-@@100,278044162.0,250002.0,512.0,✓,✗,59.65 ± 1.10 / 79.49 ± 0.63@@59.64543358793447,66.85 ± 1.32 / 72.84 ± 0.82@@66.85203225397379,35.56 ± 1.76 / 66.00 ± 1.15@@35.55643794313125,9.89 ± 0.36 / 3.53 ± 0.36@@9.885179018039615,-@@-1,-@@-1,-@@-1,15.7.1.dev0@@150701,12.6.1@@120601,12.6.1@@120601,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/sentence-transformers/quora-distilbert-multilingual'>sentence-transformers/quora-distilbert-multilingual</a>,🔍,-@@100,134734080.0,119547.0,512.0,✓,✗,33.86 ± 7.05 / 66.59 ± 3.82@@33.8557766836538,67.89 ± 1.61 / 74.48 ± 1.24@@67.88818591195607,21.36 ± 7.80 / 59.50 ± 3.54@@21.360979145195287,8.42 ± 0.75 / 2.20 ± 0.34@@8.415493230006302,-@@-1,-@@-1,-@@-1,15.7.1.dev0@@150701,<9.2.0@@0,<9.2.0@@0,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/sentence-transformers/paraphrase-xlm-r-multilingual-v1'>sentence-transformers/paraphrase-xlm-r-multilingual-v1</a>,🔍,-@@100,278044162.0,250002.0,512.0,✓,✗,48.33 ± 12.45 / 72.57 ± 8.82@@48.32744682085795,70.59 ± 1.60 / 78.25 ± 1.22@@70.59448295268818,45.86 ± 2.06 / 71.32 ± 1.40@@45.86146477303167,8.66 ± 1.34 / 2.70 ± 0.59@@8.656052260727348,-@@-1,-@@-1,-@@-1,15.7.1.dev0@@150701,<9.2.0@@0,<9.2.0@@0,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2'>sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2</a>,🔍,-@@100,117654272.0,250037.0,512.0,✓,✗,40.32 ± 11.62 / 68.40 ± 7.75@@40.323634158292755,59.61 ± 2.40 / 67.02 ± 1.16@@59.60803237512315,-0.04 ± 1.84 / 48.65 ± 1.21@@-0.04073367214210913,9.13 ± 0.30 / 2.35 ± 0.26@@9.125831542101933,-@@-1,-@@-1,-@@-1,15.7.1.dev0@@150701,12.6.1@@120601,12.6.1@@120601,14.3.0@@140300,-@@0,-@@0,-@@0
<a href='https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased'>sentence-transformers/distiluse-base-multilingual-cased</a>,🔍,-@@100,134735618.0,119547.0,512.0,✓,✗,37.23 ± 4.68 / 68.13 ± 2.48@@37.225685430292984,56.98 ± 1.37 / 66.91 ± 1.60@@56.97803378404043,19.37 ± 4.34 / 56.74 ± 3.13@@19.37311026885626,7.91 ± 0.25 / 3.11 ± 0.37@@7.9088500323216335,-@@-1,-@@-1,-@@-1,15.7.2.dev0@@150702,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased-v2'>sentence-transformers/distiluse-base-multilingual-cased-v2</a>,🔍,-@@100,134734080.0,119547.0,512.0,✓,✗,37.22 ± 4.67 / 68.13 ± 2.48@@37.21553296421403,49.82 ± 2.71 / 62.06 ± 1.69@@49.82093061974851,6.60 ± 3.84 / 50.71 ± 1.92@@6.6032360837986515,6.80 ± 0.37 / 2.13 ± 0.10@@6.801514429419986,-@@-1,-@@-1,-@@-1,15.7.2.dev0@@150702,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,-@@0,-@@0,-@@0
<a href='https://huggingface.co/Twitter/twhin-bert-large'>Twitter/twhin-bert-large</a>,🔍,-@@100,561713298.0,250002.0,512.0,✓,✗,31.16 ± 19.32 / 62.40 ± 11.43@@31.156036512907924,77.35 ± 2.80 / 82.50 ± 1.87@@77.35295345691807,18.25 ± 8.41 / 54.00 ± 5.57@@18.249774193416513,33.24 ± 5.66 / 23.18 ± 4.79@@33.238717100577176,-@@-1,-@@-1,-@@-1,15.7.1.dev0@@150701,<9.2.0@@0,<9.2.0@@0,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking'>sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking</a>,🔍,-@@100,134734080.0,119547.0,512.0,✓,✗,33.77 ± 6.97 / 66.54 ± 3.77@@33.767717250734364,65.04 ± 1.07 / 70.94 ± 0.61@@65.03816047567194,-0.95 ± 1.35 / 49.00 ± 0.64@@-0.9513838856831834,8.47 ± 0.75 / 2.22 ± 0.36@@8.469401697035611,-@@-1,-@@-1,-@@-1,15.7.1.dev0@@150701,12.6.1@@120601,12.6.1@@120601,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/setu4993/LaBSE'>setu4993/LaBSE</a>,🔍,-@@100,470927360.0,501153.0,512.0,✓,✗,77.22 ± 1.21 / 88.59 ± 0.61@@77.21946062145733,82.02 ± 1.04 / 84.71 ± 0.59@@82.01548909248177,60.77 ± 1.53 / 79.80 ± 0.87@@60.768433675511304,47.63 ± 2.34 / 35.87 ± 2.11@@47.625831220500146,-@@-1,-@@-1,-@@-1,15.7.1.dev0@@150701,<9.2.0@@0,<9.2.0@@0,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/ZurichNLP/unsup-simcse-xlm-roberta-base'>ZurichNLP/unsup-simcse-xlm-roberta-base</a>,🔍,-@@100,277455362.0,250002.0,514.0,✓,✗,74.86 ± 1.07 / 87.33 ± 0.58@@74.86405153297646,78.45 ± 1.88 / 83.50 ± 0.85@@78.44986285347468,54.92 ± 9.62 / 76.14 ± 5.00@@54.92440529227907,42.21 ± 1.18 / 29.92 ± 1.22@@42.2093967120192,-@@-1,-@@-1,-@@-1,15.7.1.dev0@@150701,<9.2.0@@0,<9.2.0@@0,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/robinsmits/Qwen1.5-7B-Dutch-Chat'>robinsmits/Qwen1.5-7B-Dutch-Chat (few-shot)</a>,📝,-@@100,7718948864.0,151646.0,32768.0,✗,✗,-@@-1,57.81 ± 2.68 / 47.15 ± 2.77@@57.80846005780376,25.34 ± 2.37 / 54.46 ± 3.43@@25.340665356316393,71.39 ± 0.44 / 49.79 ± 1.72@@71.3926674685618,60.51 ± 2.40 / 15.62 ± 1.65@@60.5111246749584,34.78 ± 0.80 / 50.83 ± 0.58@@34.7839452778414,30.29 ± 1.78 / 46.74 ± 1.68@@30.289045571180363,-@@0,12.5.3@@120503,12.5.3@@120503,14.2.0.dev0@@140200,12.5.3@@120503,12.5.3@@120503,12.5.3@@120503
<a href='https://huggingface.co/pdelobelle/robbert-v2-dutch-base'>pdelobelle/robbert-v2-dutch-base</a>,🔍,-@@100,116804162.0,40000.0,512.0,✓,✗,78.47 ± 0.82 / 89.22 ± 0.41@@78.47490043270612,78.30 ± 1.97 / 83.07 ± 1.30@@78.29569272698969,63.83 ± 3.09 / 80.68 ± 2.18@@63.825904911086276,36.75 ± 1.30 / 26.02 ± 1.22@@36.7548836751068,-@@-1,-@@-1,-@@-1,15.7.1.dev0@@150701,<9.2.0@@0,<9.2.0@@0,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/allenai/OLMo-1.7-7B-hf'>allenai/OLMo-1.7-7B-hf (few-shot)</a>,🧠,-@@100,6888095744.0,50304.0,4096.0,✓,✗,-@@-1,46.95 ± 2.32 / 36.13 ± 1.88@@46.9509997699909,3.46 ± 1.91 / 41.32 ± 3.08@@3.4584881644938963,74.87 ± 0.59 / 62.27 ± 0.90@@74.86921899921933,61.31 ± 0.64 / 17.24 ± 0.72@@61.30637975533318,18.21 ± 0.70 / 37.51 ± 0.63@@18.207469264558313,9.03 ± 1.04 / 29.35 ± 0.77@@9.029396180140392,-@@0,12.10.5@@121005,12.10.4@@121004,14.3.0@@140300,12.10.5@@121005,12.10.4@@121004,12.10.4@@121004
<a href='https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased-v1'>sentence-transformers/distiluse-base-multilingual-cased-v1</a>,🔍,-@@100,134734080.0,119547.0,512.0,✓,✗,38.45 ± 7.77 / 68.18 ± 4.43@@38.44888551823764,58.67 ± 1.07 / 68.27 ± 0.94@@58.669423186532974,9.27 ± 4.66 / 52.04 ± 4.01@@9.271410765714434,5.73 ± 0.78 / 1.50 ± 0.39@@5.731976817887512,-@@-1,-@@-1,-@@-1,15.7.1.dev0@@150701,<9.2.0@@0,<9.2.0@@0,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
skole-gpt-mixtral (few-shot)</a>,🧠,-@@100,,32000.0,32768.0,✓,✗,-@@-1,62.16 ± 1.09 / 45.76 ± 2.07@@62.15607058130191,32.76 ± 2.94 / 65.17 ± 2.79@@32.75857563937352,72.57 ± 0.85 / 56.87 ± 0.92@@72.5714350463929,68.39 ± 0.73 / 20.83 ± 1.21@@68.39195063075749,46.17 ± 0.64 / 59.57 ± 0.48@@46.167201159994335,33.31 ± 1.83 / 49.12 ± 1.64@@33.3145720667635,-@@0,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/Twitter/twhin-bert-base'>Twitter/twhin-bert-base</a>,🔍,-@@100,279080594.0,250002.0,512.0,✓,✗,55.15 ± 6.16 / 76.36 ± 3.60@@55.14731399600302,74.03 ± 3.05 / 80.59 ± 2.24@@74.03427506201685,39.12 ± 12.90 / 68.36 ± 6.85@@39.12287801765392,11.61 ± 0.82 / 5.57 ± 0.74@@11.611892802373525,-@@-1,-@@-1,-@@-1,15.7.1.dev0@@150701,<9.2.0@@0,<9.2.0@@0,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/RuterNorway/Llama-2-13b-chat-norwegian'>RuterNorway/Llama-2-13b-chat-norwegian (few-shot)</a>,📝,-@@100,,32000.0,4096.0,✗,✗,-@@-1,57.66 ± 1.29 / 43.77 ± 2.78@@57.65777466423523,16.93 ± 2.60 / 55.72 ± 3.35@@16.93047033630274,70.98 ± 1.20 / 56.03 ± 1.01@@70.97673975566447,66.22 ± 0.50 / 19.03 ± 0.51@@66.22476184609695,25.70 ± 1.05 / 44.15 ± 0.82@@25.696788618124046,17.92 ± 1.69 / 37.64 ± 1.43@@17.91873064180411,-@@0,9.3.1@@90301,9.3.1@@90301,14.3.0@@140300,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301
<a href='https://huggingface.co/DTAI-KULeuven/robbert-2022-dutch-base'>DTAI-KULeuven/robbert-2022-dutch-base</a>,🔍,-@@100,118937368.0,42774.0,512.0,✓,✗,79.46 ± 1.73 / 89.60 ± 0.93@@79.46306306863555,79.84 ± 1.41 / 84.42 ± 1.03@@79.83862690951528,68.76 ± 1.47 / 83.77 ± 0.93@@68.7638902090886,35.52 ± 1.00 / 25.39 ± 1.05@@35.521043197557454,-@@-1,-@@-1,-@@-1,15.7.1.dev0@@150701,<9.2.0@@0,<9.2.0@@0,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/DTAI-KULeuven/robbert-2023-dutch-base'>DTAI-KULeuven/robbert-2023-dutch-base</a>,🔍,-@@100,124494162.0,50000.0,512.0,✓,✗,79.97 ± 1.38 / 89.86 ± 0.77@@79.97346583277728,82.22 ± 1.28 / 86.32 ± 0.75@@82.21880024221812,55.12 ± 11.67 / 76.12 ± 7.45@@55.12165090607633,43.48 ± 1.63 / 9.68 ± 0.61@@43.480212636764165,-@@-1,-@@-1,-@@-1,15.7.1.dev0@@150701,<9.2.0@@0,<9.2.0@@0,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/DTAI-KULeuven/robbert-2023-dutch-large'>DTAI-KULeuven/robbert-2023-dutch-large</a>,🔍,-@@100,355140946.0,50000.0,512.0,✓,✗,86.95 ± 1.02 / 93.45 ± 0.51@@86.95481591793748,81.05 ± 2.44 / 85.20 ± 1.69@@81.04944533151419,65.18 ± 1.83 / 82.29 ± 0.90@@65.18355982347647,55.79 ± 1.22 / 11.52 ± 0.47@@55.791003684226574,-@@-1,-@@-1,-@@-1,15.7.1.dev0@@150701,<9.2.0@@0,<9.2.0@@0,14.2.0.dev0@@140200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/DTAI-KULeuven/robbertje-1-gb-bort'>DTAI-KULeuven/robbertje-1-gb-bort</a>,🔍,-@@100,45305858.0,40000.0,512.0,✓,✗,55.53 ± 12.93 / 76.21 ± 9.35@@55.525314459917965,66.74 ± 1.53 / 75.07 ± 0.86@@66.74362475527221,37.19 ± 6.22 / 66.68 ± 3.26@@37.1908187786516,10.67 ± 0.44 / 5.23 ± 0.43@@10.666573467336157,-@@-1,-@@-1,-@@-1,15.7.2.dev0@@150702,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/DTAI-KULeuven/robbertje-1-gb-merged'>DTAI-KULeuven/robbertje-1-gb-merged</a>,🔍,-@@100,73646594.0,40000.0,512.0,✓,✗,66.73 ± 1.41 / 83.30 ± 0.71@@66.72677211932856,72.51 ± 0.97 / 80.14 ± 0.74@@72.51094523326043,50.00 ± 2.09 / 73.38 ± 1.43@@50.004440839912355,11.08 ± 0.47 / 5.97 ± 0.44@@11.081592227986608,-@@-1,-@@-1,-@@-1,15.7.2.dev0@@150702,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/DTAI-KULeuven/robbertje-1-gb-non-shuffled'>DTAI-KULeuven/robbertje-1-gb-non-shuffled</a>,🔍,-@@100,73646594.0,40000.0,512.0,✓,✗,67.43 ± 1.31 / 83.64 ± 0.68@@67.42522990951339,74.50 ± 1.61 / 81.38 ± 0.87@@74.50492883873008,54.57 ± 1.72 / 75.82 ± 1.07@@54.572662697818785,11.55 ± 0.22 / 6.31 ± 0.28@@11.545910050572022,-@@-1,-@@-1,-@@-1,15.7.2.dev0@@150702,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/DTAI-KULeuven/robbertje-1-gb-shuffled'>DTAI-KULeuven/robbertje-1-gb-shuffled</a>,🔍,-@@100,74276930.0,40000.0,512.0,✓,✗,65.86 ± 1.40 / 82.92 ± 0.70@@65.86380189396843,73.55 ± 2.27 / 80.69 ± 1.31@@73.54519301362247,57.03 ± 1.80 / 77.24 ± 1.09@@57.02844925170528,12.04 ± 0.28 / 6.64 ± 0.36@@12.037680151122505,-@@-1,-@@-1,-@@-1,15.7.2.dev0@@150702,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/EuroBERT/EuroBERT-210m'>EuroBERT/EuroBERT-210m</a>,🔍,-@@100,212358146.0,128256.0,8192.0,✓,✗,-@@-1,-@@-1,31.42 ± 4.06 / 65.38 ± 2.24@@31.41698429708852,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,15.2.0.dev0@@150200,-@@0,-@@0,-@@0,-@@0
