generative_type,model,rank,danish,norwegian,swedish,parameters,vocabulary_size,context,commercial,merge,angry_tweets,dansk,scala_da,scandiqa_da,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,swerec,suc3,scala_sv,scandiqa_sv,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version
🔍,<a href='https://huggingface.co/KennethEnevoldsen/dfm-sentence-encoder-medium'>KennethEnevoldsen/dfm-sentence-encoder-medium</a>,2.37@@2.37,1.84@@1.84,2.61@@2.61,2.66@@2.66,124448259.0,50005.0,514.0,✓,✗,49.96 ± 1.54 / 66.09 ± 1.38@@49.95696680127278,68.76 ± 1.42 / 64.03 ± 1.57@@68.7610703405473,68.90 ± 2.48 / 83.41 ± 1.71@@68.90133229394839,39.91 ± 1.43 / 34.54 ± 1.58@@39.9063619428689,43.70 ± 3.37 / 57.46 ± 4.54@@43.69690337366564,83.98 ± 0.88 / 85.30 ± 0.63@@83.9823210770737,77.60 ± 1.37 / 79.56 ± 1.21@@77.59594787550212,34.72 ± 9.66 / 66.15 ± 4.90@@34.72357897504129,3.72 ± 3.38 / 48.46 ± 3.05@@3.7193355880448316,39.89 ± 3.31 / 26.92 ± 2.49@@39.8900552785517,65.45 ± 1.23 / 61.17 ± 2.88@@65.44706278194813,70.82 ± 0.97 / 71.01 ± 1.18@@70.82184695143037,5.18 ± 3.53 / 46.49 ± 4.42@@5.184164961447315,31.12 ± 1.95 / 25.77 ± 2.07@@31.123406192609572,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301
📝,<a href='https://huggingface.co/tiiuae/Falcon3-10B-Instruct'>tiiuae/Falcon3-10B-Instruct (few-shot)</a>,2.37@@2.37,2.32@@2.32,2.69@@2.69,2.11@@2.11,10305653760.0,131072.0,32768.0,✓,✗,49.06 ± 1.73 / 66.30 ± 1.20@@49.05517733885982,54.37 ± 1.43 / 41.84 ± 1.72@@54.3720710376282,17.46 ± 1.77 / 52.23 ± 2.95@@17.464653093643726,63.04 ± 0.72 / 55.39 ± 0.76@@63.037082260638705,31.79 ± 0.53 / 36.15 ± 0.41@@31.78614292658931,65.78 ± 1.24 / 61.38 ± 2.10@@65.78222713073428,62.79 ± 1.10 / 59.25 ± 1.76@@62.79089540973462,21.79 ± 1.98 / 54.92 ± 3.04@@21.789122007183074,14.03 ± 1.64 / 55.34 ± 1.21@@14.034756089970726,73.92 ± 1.96 / 46.80 ± 3.40@@73.91516430002778,77.17 ± 0.90 / 75.70 ± 1.49@@77.16565089460545,55.16 ± 2.18 / 46.08 ± 2.86@@55.15680678197638,19.89 ± 0.78 / 58.05 ± 1.38@@19.885528500414793,62.90 ± 0.47 / 55.21 ± 0.77@@62.89576428591395,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
🧠,"<a href='https://huggingface.co/birgermoell/Flashback-Bellman'>birgermoell/Flashback-Bellman (few-shot, val)</a>",2.39@@2.39,2.19@@2.19,2.91@@2.91,2.08@@2.08,7241732096.0,32000.0,32768.0,✗,✓,51.64 ± 1.99 / 62.96 ± 2.33@@51.64065115325287,52.03 ± 2.75 / 39.59 ± 2.64@@52.027402701238515,25.66 ± 3.51 / 52.46 ± 4.34@@25.662583094190232,63.50 ± 1.13 / 58.38 ± 1.34@@63.50433165670935,35.76 ± 2.22 / 37.40 ± 1.52@@35.76173217834417,56.19 ± 3.24 / 47.83 ± 3.88@@56.18932249490914,61.39 ± 3.15 / 49.03 ± 3.50@@61.38682911376881,14.39 ± 3.75 / 40.53 ± 3.60@@14.388791232203452,1.77 ± 2.41 / 34.45 ± 2.22@@1.7703690686435014,62.83 ± 4.13 / 39.05 ± 4.08@@62.82988833569948,78.29 ± 1.83 / 78.77 ± 2.06@@78.28715289126868,55.29 ± 3.95 / 41.59 ± 4.48@@55.28538985151991,18.45 ± 3.00 / 46.38 ± 2.81@@18.447455973801652,63.83 ± 1.18 / 58.42 ± 1.64@@63.82904390681965,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,12.5.2@@120502
📝,<a href='https://huggingface.co/Qwen/Qwen1.5-7B'>Qwen/Qwen1.5-7B (few-shot)</a>,2.40@@2.40,2.40@@2.40,2.79@@2.79,2.00@@2.00,7721324544.0,151936.0,32768.0,✓,✗,47.90 ± 1.57 / 65.07 ± 1.36@@47.89622055954917,42.73 ± 2.66 / 29.60 ± 3.36@@42.73030653892471,25.97 ± 2.96 / 58.87 ± 4.38@@25.971298634850104,63.44 ± 0.54 / 58.41 ± 0.75@@63.44075322991277,46.10 ± 1.49 / 63.31 ± 1.15@@46.09514236417443,54.62 ± 5.05 / 47.42 ± 3.84@@54.62404584948723,57.47 ± 1.65 / 48.98 ± 4.00@@57.471837789508704,12.12 ± 4.54 / 40.61 ± 5.04@@12.116891875226084,2.15 ± 3.27 / 34.55 ± 2.65@@2.1451777908917995,65.93 ± 3.57 / 41.64 ± 3.69@@65.92582839831161,77.92 ± 0.65 / 74.76 ± 1.71@@77.9194961548096,55.07 ± 2.40 / 43.64 ± 5.21@@55.06854115418225,28.62 ± 1.94 / 62.72 ± 1.72@@28.624121879331888,63.88 ± 0.43 / 58.58 ± 0.89@@63.87621393823669,12.10.0@@121000,12.11.0@@121100,12.11.0@@121100,12.11.0@@121100,12.10.0@@121000,12.11.0@@121100,12.11.0@@121100,12.11.0@@121100,12.11.0@@121100,12.11.0@@121100,12.10.0@@121000,12.11.0@@121100,12.11.0@@121100,12.11.0@@121100
🧠,"<a href='https://huggingface.co/merge-crew/da-sv-dare-ties-density-0.9'>merge-crew/da-sv-dare-ties-density-0.9 (few-shot, val)</a>",2.40@@2.40,2.31@@2.31,2.82@@2.82,2.07@@2.07,7241732096.0,32000.0,32768.0,✓,✓,51.87 ± 3.49 / 66.36 ± 2.76@@51.866593263650785,48.31 ± 3.21 / 36.48 ± 4.11@@48.31010205468013,22.18 ± 5.08 / 57.25 ± 3.60@@22.175363132038882,61.67 ± 1.68 / 56.90 ± 2.40@@61.67257660349774,36.83 ± 1.93 / 37.82 ± 1.67@@36.82824508108069,48.81 ± 3.96 / 41.56 ± 4.30@@48.814902629169346,59.19 ± 2.84 / 47.63 ± 3.61@@59.19241301206183,22.36 ± 3.00 / 57.94 ± 2.37@@22.35619432587895,9.55 ± 5.55 / 52.56 ± 2.67@@9.547814868321518,67.77 ± 4.67 / 46.87 ± 4.77@@67.76676865866928,76.38 ± 2.01 / 78.30 ± 2.42@@76.37677418929204,46.61 ± 3.11 / 34.10 ± 4.61@@46.60624940572098,34.16 ± 4.39 / 60.06 ± 4.67@@34.155238299691085,63.50 ± 1.47 / 58.77 ± 1.76@@63.49895290393023,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001
🧠,"<a href='https://huggingface.co/merge-crew/da-sv-slerp'>merge-crew/da-sv-slerp (few-shot, val)</a>",2.40@@2.40,2.19@@2.19,2.97@@2.97,2.05@@2.05,7241732096.0,32000.0,32768.0,✓,✓,51.51 ± 2.98 / 62.18 ± 2.93@@51.51119974775536,47.01 ± 1.74 / 35.11 ± 2.31@@47.0132618652191,35.14 ± 2.98 / 62.15 ± 3.74@@35.13700324133681,62.15 ± 1.04 / 57.88 ± 1.59@@62.15200980280385,38.02 ± 1.82 / 38.34 ± 1.62@@38.0230651808224,49.47 ± 3.08 / 41.44 ± 3.74@@49.47329245248236,58.48 ± 2.54 / 45.04 ± 3.71@@58.48490175054554,4.74 ± 3.37 / 34.99 ± 1.38@@4.73708799998117,0.58 ± 1.13 / 33.69 ± 1.07@@0.5773537984304387,64.76 ± 5.53 / 42.47 ± 6.06@@64.75722236918139,76.53 ± 2.55 / 77.96 ± 3.04@@76.53405610965652,46.57 ± 3.34 / 33.94 ± 3.73@@46.570173581947586,33.43 ± 3.89 / 61.87 ± 4.02@@33.42704284148287,64.53 ± 1.41 / 59.87 ± 1.52@@64.52729551587096,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001
🧠,"<a href='https://huggingface.co/merge-crew/da-sv-task-arithmetic'>merge-crew/da-sv-task-arithmetic (few-shot, val)</a>",2.40@@2.40,2.16@@2.16,2.99@@2.99,2.05@@2.05,7241732096.0,32000.0,32768.0,✓,✓,51.80 ± 3.53 / 62.88 ± 3.25@@51.80390184311049,47.59 ± 1.90 / 34.82 ± 2.36@@47.594862558185056,34.09 ± 3.93 / 61.88 ± 3.91@@34.08626578076225,62.63 ± 0.97 / 58.45 ± 1.45@@62.633013227252036,37.68 ± 1.88 / 38.34 ± 1.61@@37.68247928108221,49.54 ± 2.96 / 41.26 ± 3.97@@49.53750366167372,58.69 ± 2.74 / 45.29 ± 3.80@@58.685280238301296,4.14 ± 3.48 / 34.91 ± 1.44@@4.1442231387812445,0.58 ± 1.13 / 33.69 ± 1.07@@0.5773537984304387,64.51 ± 5.52 / 42.22 ± 6.08@@64.51428157931743,76.62 ± 2.52 / 78.04 ± 2.98@@76.61549387290671,47.28 ± 3.05 / 34.01 ± 3.73@@47.27832263275194,33.23 ± 4.72 / 61.29 ± 4.67@@33.229601258404465,64.62 ± 1.44 / 60.00 ± 1.69@@64.61685632635755,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001
📝,<a href='https://huggingface.co/mistralai/Ministral-8B-Instruct-2410'>mistralai/Ministral-8B-Instruct-2410 (few-shot)</a>,2.41@@2.41,2.39@@2.39,2.65@@2.65,2.17@@2.17,8019808256.0,131072.0,32768.0,✓,✗,49.49 ± 1.91 / 65.46 ± 1.70@@49.490936593613355,55.49 ± 2.05 / 34.11 ± 1.79@@55.49416742348118,7.40 ± 1.81 / 35.19 ± 0.73@@7.396661646589416,64.99 ± 0.45 / 57.72 ± 0.54@@64.99465880878127,31.25 ± 1.21 / 33.48 ± 1.18@@31.250041839235816,67.24 ± 1.06 / 45.38 ± 2.20@@67.24448303900756,66.08 ± 1.05 / 47.58 ± 3.27@@66.08443731945482,28.72 ± 2.42 / 58.62 ± 3.68@@28.71911301489842,20.55 ± 3.71 / 54.24 ± 4.15@@20.549873335507936,68.91 ± 2.08 / 40.60 ± 2.39@@68.90654386608881,73.66 ± 1.43 / 75.70 ± 0.96@@73.65987877280892,54.76 ± 1.82 / 31.21 ± 2.67@@54.757049097291954,16.17 ± 2.98 / 42.93 ± 2.72@@16.170147310834984,65.27 ± 0.58 / 57.94 ± 0.58@@65.27288019159556,15.0.0@@150000,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,15.0.0@@150000,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,15.0.0@@150000,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
🧠,<a href='https://huggingface.co/timpal0l/njord-alpha'>timpal0l/njord-alpha (few-shot)</a>,2.41@@2.41,2.57@@2.57,2.63@@2.63,2.02@@2.02,7241732096.0,32000.0,32768.0,✓,✗,39.37 ± 2.09 / 56.57 ± 1.90@@39.37115810320628,38.25 ± 3.75 / 28.14 ± 3.06@@38.253922381030506,29.76 ± 3.24 / 61.80 ± 2.22@@29.761260095203596,63.16 ± 0.90 / 57.02 ± 1.28@@63.16283626095526,48.03 ± 1.71 / 65.89 ± 1.68@@48.02886398209007,50.47 ± 2.96 / 43.31 ± 2.54@@50.46511218815735,51.97 ± 3.83 / 42.66 ± 5.03@@51.97465390417608,22.65 ± 3.80 / 51.83 ± 5.03@@22.654902262598327,17.10 ± 4.78 / 49.03 ± 6.45@@17.101735786189984,68.08 ± 4.22 / 44.72 ± 4.47@@68.08294587285796,79.95 ± 0.87 / 81.24 ± 0.64@@79.94567536739041,48.19 ± 2.55 / 37.50 ± 3.62@@48.188546292761636,32.85 ± 2.28 / 61.74 ± 3.05@@32.84973108404678,63.58 ± 1.19 / 57.39 ± 1.52@@63.58051377746917,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700
🧠,"<a href='https://huggingface.co/birgermoell/Rapid-Cycling'>birgermoell/Rapid-Cycling (few-shot, val)</a>",2.41@@2.41,2.19@@2.19,2.91@@2.91,2.13@@2.13,7241732096.0,32000.0,32768.0,✗,✓,51.64 ± 1.99 / 62.96 ± 2.33@@51.64065115325287,52.03 ± 2.75 / 39.59 ± 2.64@@52.027402701238515,25.66 ± 3.51 / 52.46 ± 4.34@@25.662583094190232,63.50 ± 1.13 / 58.38 ± 1.34@@63.50433165670935,35.76 ± 2.22 / 37.40 ± 1.52@@35.76173217834417,56.19 ± 3.24 / 47.83 ± 3.88@@56.18932249490914,61.39 ± 3.15 / 49.03 ± 3.50@@61.38682911376881,14.39 ± 3.75 / 40.53 ± 3.60@@14.388791232203452,1.77 ± 2.41 / 34.45 ± 2.22@@1.7703690686435014,62.83 ± 4.13 / 39.05 ± 4.08@@62.82988833569948,77.72 ± 2.51 / 78.40 ± 2.65@@77.71765518302149,53.66 ± 3.57 / 41.97 ± 4.83@@53.65862226533824,16.22 ± 4.46 / 43.17 ± 3.88@@16.22481616576175,64.72 ± 1.04 / 59.75 ± 1.13@@64.71937804389108,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,9.3.2@@90302,9.3.2@@90302,9.3.2@@90302,12.5.2@@120502
🧠,<a href='https://huggingface.co/senseable/WestLake-7B-v2'>senseable/WestLake-7B-v2 (few-shot)</a>,2.42@@2.42,2.36@@2.36,2.75@@2.75,2.15@@2.15,7241732096.0,32000.0,4096.0,✗,✗,50.29 ± 1.48 / 66.83 ± 1.17@@50.29024847783765,52.34 ± 1.58 / 34.16 ± 3.03@@52.343006293889815,21.22 ± 1.13 / 55.21 ± 2.11@@21.218855246986873,58.65 ± 1.21 / 48.99 ± 1.86@@58.65287560854314,34.84 ± 0.78 / 37.97 ± 0.80@@34.84455057051229,64.56 ± 1.06 / 50.17 ± 2.83@@64.55836196021745,62.99 ± 1.38 / 50.27 ± 3.46@@62.98890989260484,18.92 ± 1.47 / 54.26 ± 3.08@@18.9190765628475,12.88 ± 1.33 / 51.31 ± 2.24@@12.876017924423286,67.02 ± 1.77 / 36.55 ± 2.06@@67.01742973300944,78.63 ± 0.86 / 78.63 ± 1.06@@78.62902860479824,56.93 ± 1.46 / 39.45 ± 3.78@@56.93103693761914,17.00 ± 2.10 / 47.66 ± 3.44@@17.002452719257004,59.72 ± 0.64 / 48.67 ± 1.34@@59.72449733164988,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
🔍,<a href='https://huggingface.co/KBLab/megatron-bert-base-swedish-cased-600k'>KBLab/megatron-bert-base-swedish-cased-600k</a>,2.42@@2.42,2.74@@2.74,2.98@@2.98,1.54@@1.54,135293955.0,64128.0,512.0,✓,✗,39.40 ± 1.14 / 59.02 ± 0.60@@39.4036440646265,57.97 ± 1.64 / 54.71 ± 1.72@@57.97395845905504,23.50 ± 1.86 / 59.54 ± 1.34@@23.50226969923435,36.99 ± 2.78 / 31.87 ± 2.77@@36.987590208499945,34.73 ± 2.16 / 47.10 ± 3.00@@34.72864390557737,82.27 ± 0.89 / 82.91 ± 0.99@@82.26665237791536,76.72 ± 0.78 / 78.59 ± 0.80@@76.72452631905584,12.11 ± 3.29 / 53.58 ± 2.37@@12.112495649884806,7.26 ± 2.53 / 52.64 ± 1.28@@7.264711344984928,32.36 ± 3.49 / 21.36 ± 2.49@@32.35777929810939,76.09 ± 0.81 / 72.74 ± 2.11@@76.08908733849566,78.91 ± 1.24 / 72.93 ± 1.08@@78.90803959296277,70.08 ± 2.11 / 83.40 ± 1.46@@70.08397241279937,47.18 ± 0.98 / 41.14 ± 1.18@@47.18119055983532,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
🔍,<a href='https://huggingface.co/cardiffnlp/twitter-xlm-roberta-base'>cardiffnlp/twitter-xlm-roberta-base</a>,2.42@@2.42,2.22@@2.22,3.11@@3.11,1.95@@1.95,278045955.0,250002.0,512.0,✓,✗,45.30 ± 2.03 / 63.22 ± 1.47@@45.30242995657714,70.10 ± 1.16 / 64.54 ± 1.00@@70.09688900221995,51.74 ± 2.53 / 74.31 ± 1.94@@51.744943779279765,27.76 ± 2.44 / 22.01 ± 2.50@@27.75775183287705,41.00 ± 1.41 / 47.01 ± 0.92@@40.99874259287204,81.20 ± 1.06 / 82.07 ± 1.11@@81.20301463551726,76.09 ± 1.42 / 77.87 ± 1.03@@76.09378412502856,27.03 ± 10.11 / 56.68 ± 7.63@@27.030954438861688,5.61 ± 5.50 / 43.65 ± 6.38@@5.613404741061473,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,70.69 ± 1.08 / 67.03 ± 3.40@@70.6912876068506,72.49 ± 1.68 / 67.03 ± 1.55@@72.49367018590588,56.60 ± 3.25 / 76.70 ± 2.48@@56.59543943806491,37.63 ± 1.86 / 31.89 ± 1.88@@37.626069936028536,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
🧠,<a href='https://huggingface.co/CohereForAI/aya-23-35B'>CohereForAI/aya-23-35B (few-shot)</a>,2.42@@2.42,2.27@@2.27,2.96@@2.96,2.02@@2.02,34980831232.0,256000.0,8192.0,✗,✗,45.56 ± 1.91 / 60.77 ± 1.75@@45.55829841545358,53.11 ± 1.89 / 37.76 ± 1.97@@53.112347989159005,23.99 ± 1.13 / 61.00 ± 1.11@@23.99100702262741,66.32 ± 0.64 / 59.33 ± 0.87@@66.32003585070774,17.36 ± 3.04 / 32.71 ± 2.68@@17.364252599330772,68.60 ± 1.99 / 53.35 ± 3.63@@68.60493395515789,63.60 ± 1.30 / 52.59 ± 2.58@@63.59807003789702,19.84 ± 3.17 / 53.15 ± 4.54@@19.835578432880435,14.41 ± 1.61 / 53.00 ± 2.64@@14.405636287431047,69.37 ± 2.03 / 43.77 ± 2.10@@69.3725180594492,77.21 ± 1.22 / 77.57 ± 1.12@@77.20740559402068,60.30 ± 2.32 / 40.24 ± 4.58@@60.30482143805187,20.95 ± 2.01 / 54.93 ± 2.10@@20.945333478724805,65.04 ± 0.54 / 58.02 ± 0.63@@65.03713031474688,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402
📝,<a href='https://huggingface.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B (few-shot)</a>,2.42@@2.42,2.45@@2.45,2.59@@2.59,2.24@@2.24,3606752256.0,128256.0,131072.0,✓,✗,52.87 ± 1.61 / 67.19 ± 1.26@@52.86564164029933,45.78 ± 2.34 / 31.71 ± 2.46@@45.7779585818205,16.18 ± 2.39 / 43.28 ± 2.19@@16.17858882687628,61.02 ± 0.59 / 51.53 ± 0.94@@61.01918557467867,44.71 ± 0.99 / 59.12 ± 1.46@@44.70821500294872,53.77 ± 2.30 / 44.61 ± 2.76@@53.770042239293204,55.49 ± 1.52 / 43.02 ± 3.39@@55.48650809853981,22.51 ± 1.43 / 54.04 ± 2.18@@22.51018483356822,16.48 ± 1.91 / 51.00 ± 2.10@@16.47826897868376,71.38 ± 1.59 / 45.53 ± 2.39@@71.37958887462476,73.76 ± 0.78 / 69.52 ± 1.43@@73.75528675734128,44.09 ± 2.33 / 30.12 ± 2.14@@44.09163760949319,24.84 ± 1.95 / 53.40 ± 2.18@@24.838531970887388,62.36 ± 0.65 / 53.23 ± 0.64@@62.36179358167266,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
🧠,"<a href='https://huggingface.co/birgermoell/BeagleCatMunin-Flashback-Bellman'>birgermoell/BeagleCatMunin-Flashback-Bellman (few-shot, val)</a>",2.44@@2.44,2.19@@2.19,2.94@@2.94,2.20@@2.20,7241732096.0,32000.0,32768.0,✗,✓,52.19 ± 2.17 / 64.11 ± 2.25@@52.18623842555481,52.64 ± 2.31 / 40.20 ± 2.62@@52.64073182533171,24.89 ± 3.02 / 49.62 ± 4.14@@24.889449461102704,63.57 ± 1.21 / 57.96 ± 1.48@@63.57441962611381,36.73 ± 1.86 / 37.30 ± 1.59@@36.73469084461811,53.65 ± 2.76 / 46.12 ± 3.47@@53.649673617893576,59.65 ± 2.68 / 47.00 ± 3.11@@59.64577490577479,15.52 ± 3.95 / 41.24 ± 3.25@@15.515257275453271,-0.40 ± 2.32 / 34.03 ± 1.71@@-0.39957048874879486,64.08 ± 4.66 / 40.11 ± 4.66@@64.07881520741532,76.99 ± 2.37 / 76.84 ± 2.99@@76.98664631875297,52.96 ± 3.45 / 41.51 ± 4.30@@52.96129818458763,14.27 ± 4.36 / 40.60 ± 3.04@@14.26738320492143,64.87 ± 1.47 / 59.92 ± 1.64@@64.87220732862056,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,12.5.2@@120502
📝,<a href='https://huggingface.co/Mabeck/Heidrun-Mistral-7B-chat'>Mabeck/Heidrun-Mistral-7B-chat (few-shot)</a>,2.44@@2.44,2.67@@2.67,2.52@@2.52,2.13@@2.13,7241732096.0,32000.0,32768.0,✗,✗,49.86 ± 1.51 / 65.11 ± 1.52@@49.861254384864104,51.93 ± 1.66 / 34.88 ± 2.57@@51.934028142553736,20.25 ± 3.13 / 52.74 ± 4.16@@20.247638046986488,35.74 ± 5.40 / 25.84 ± 5.68@@35.74035736094723,49.19 ± 1.64 / 63.36 ± 1.52@@49.18579758343295,61.41 ± 1.71 / 52.32 ± 2.63@@61.41328256052109,59.49 ± 1.26 / 49.45 ± 3.31@@59.4929928256158,15.17 ± 2.64 / 50.25 ± 4.51@@15.168333510623475,10.78 ± 1.99 / 50.08 ± 4.20@@10.778857952738743,73.08 ± 2.26 / 48.99 ± 2.91@@73.07560956642062,77.50 ± 0.90 / 73.87 ± 1.21@@77.49615701690435,55.06 ± 2.38 / 41.39 ± 4.31@@55.060246569951566,17.47 ± 2.33 / 47.73 ± 3.35@@17.46784831423539,64.58 ± 0.78 / 58.67 ± 0.96@@64.58081935701264,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,12.5.0@@120500,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,12.5.0@@120500
🔍,<a href='https://huggingface.co/vesteinn/DanskBERT'>vesteinn/DanskBERT</a>,2.44@@2.44,2.10@@2.10,3.00@@3.00,2.21@@2.21,124448259.0,50005.0,512.0,✓,✗,51.25 ± 1.18 / 67.48 ± 0.76@@51.25189032055539,65.11 ± 1.96 / 61.35 ± 1.78@@65.10810508408997,49.72 ± 20.49 / 72.32 ± 12.02@@49.72330861683094,36.85 ± 0.79 / 31.74 ± 0.78@@36.85417377774562,28.98 ± 12.36 / 43.61 ± 10.27@@28.983956069978383,83.84 ± 0.78 / 84.94 ± 0.70@@83.84150158280225,75.94 ± 0.87 / 77.61 ± 0.73@@75.94246550634404,24.50 ± 14.75 / 56.11 ± 10.01@@24.498768452234394,5.37 ± 5.54 / 44.00 ± 6.55@@5.370011870496396,31.28 ± 3.37 / 19.29 ± 2.57@@31.275180062956593,67.77 ± 1.19 / 62.98 ± 2.57@@67.77113828663339,72.33 ± 0.82 / 67.15 ± 0.85@@72.32762058220518,33.79 ± 7.61 / 64.01 ± 6.84@@33.791799806742404,37.46 ± 0.64 / 32.71 ± 0.77@@37.46266212320002,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
