model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets_primary,angry_tweets_secondary,dansk_primary,dansk_secondary,scala_da_primary,scala_da_secondary,scandiqa_da_primary,scandiqa_da_secondary,nordjylland_news_primary,nordjylland_news_secondary,danske_talemaader_primary,danske_talemaader_secondary,danish_citizen_tests_primary,danish_citizen_tests_secondary,hellaswag_da_primary,hellaswag_da_secondary,swerec_primary,swerec_secondary,suc3_primary,suc3_secondary,scala_sv_primary,scala_sv_secondary,scandiqa_sv_primary,scandiqa_sv_secondary,swedn_primary,swedn_secondary,mmlu_sv_primary,mmlu_sv_secondary,hellaswag_sv_primary,hellaswag_sv_secondary,norec_primary,norec_secondary,norne_nb_primary,norne_nb_secondary,norne_nn_primary,norne_nn_secondary,scala_nb_primary,scala_nb_secondary,scala_nn_primary,scala_nn_secondary,norquad_primary,norquad_secondary,no_sammendrag_primary,no_sammendrag_secondary,mmlu_no_primary,mmlu_no_secondary,hellaswag_no_primary,hellaswag_no_secondary,hotter_and_colder_sentiment_primary,hotter_and_colder_sentiment_secondary,mim_gold_ner_primary,mim_gold_ner_secondary,scala_is_primary,scala_is_secondary,nqii_primary,nqii_secondary,rrn_primary,rrn_secondary,arc_is_primary,arc_is_secondary,winogrande_is_primary,winogrande_is_secondary,fosent_primary,fosent_secondary,fone_primary,fone_secondary,scala_fo_primary,scala_fo_secondary,foqa_primary,foqa_secondary,dutch_social_primary,dutch_social_secondary,conll_nl_primary,conll_nl_secondary,scala_nl_primary,scala_nl_secondary,squad_nl_primary,squad_nl_secondary,wiki_lingua_nl_primary,wiki_lingua_nl_secondary,mmlu_nl_primary,mmlu_nl_secondary,hellaswag_nl_primary,hellaswag_nl_secondary,sb10k_primary,sb10k_secondary,germeval_primary,germeval_secondary,scala_de_primary,scala_de_secondary,germanquad_primary,germanquad_secondary,mlsum_primary,mlsum_secondary,mmlu_de_primary,mmlu_de_secondary,hellaswag_de_primary,hellaswag_de_secondary,sst5_primary,sst5_secondary,conll_en_primary,conll_en_secondary,scala_en_primary,scala_en_secondary,squad_primary,squad_secondary,cnn_dailymail_primary,cnn_dailymail_secondary,mmlu_primary,mmlu_secondary,hellaswag_primary,hellaswag_secondary,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,nordjylland_news_version,danske_talemaader_version,danish_citizen_tests_version,hellaswag_da_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,swedn_version,mmlu_sv_version,hellaswag_sv_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,mmlu_no_version,hellaswag_no_version,hotter_and_colder_sentiment_version,mim_gold_ner_version,scala_is_version,nqii_version,rrn_version,arc_is_version,winogrande_is_version,fosent_version,fone_version,scala_fo_version,foqa_version,dutch_social_version,conll_nl_version,scala_nl_version,squad_nl_version,wiki_lingua_nl_version,mmlu_nl_version,hellaswag_nl_version,sb10k_version,germeval_version,scala_de_version,germanquad_version,mlsum_version,mmlu_de_version,hellaswag_de_version,sst5_version,conll_en_version,scala_en_version,squad_version,cnn_dailymail_version,mmlu_version,hellaswag_version,speed_version
ssmits/Falcon2-5.5B-multilingual (few-shot),4.96,4.93,5465.0,65.0,8192,7691.9,True,False,0.0,18.12,0.0,0.0,0.0,33.25,0.03,0.02,42.82,0.2,4.55,25.74,-1.17,34.84,-1.26,24.88,0.0,19.16,0.0,0.0,0.0,33.3,0.0,0.0,40.82,0.34,1.19,24.74,1.55,25.3,0.0,9.59,0.0,0.0,0.0,0.0,0.0,33.25,0.0,32.79,0.09,0.0,41.98,0.21,1.14,24.51,0.64,24.68,0.0,18.79,0.0,0.0,0.0,33.69,0.02,0.0,36.58,0.16,-0.0,24.71,0.0,43.48,0.0,13.62,0.0,0.0,0.0,33.4,0.0,0.0,0.0,8.62,0.0,0.0,0.0,33.34,0.01,0.0,43.74,0.22,0.32,24.79,1.73,26.61,0.0,17.05,0.0,0.0,0.0,33.34,0.02,0.0,37.66,0.15,0.87,24.67,1.95,25.62,0.0,19.61,0.0,0.0,2.48,34.52,0.03,0.01,44.8,0.32,-0.69,22.76,0.37,24.71,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
microsoft/Phi-3-mini-4k-instruct (few-shot),999.0,2.96,3821.0,32.0,4096,5224.17,True,False,42.6,61.52,41.37,24.64,6.52,45.01,57.75,50.57,64.55,19.26,38.64,53.92,42.12,61.23,13.66,35.16,67.17,70.99,46.15,24.28,5.3,47.01,57.49,51.12,59.2,15.57,21.33,41.04,16.12,36.99,37.18,55.44,56.33,36.68,54.68,37.85,6.76,41.69,6.79,45.45,52.56,30.11,61.44,13.62,15.54,36.69,17.55,37.93,14.42,37.82,33.05,29.75,0.71,34.8,39.88,17.23,60.08,13.8,2.67,27.04,2.74,53.18,17.25,37.02,56.61,47.94,-0.19,36.9,,,12.58,36.56,50.31,41.54,14.72,50.23,66.72,56.19,64.4,17.47,28.31,46.18,21.25,40.78,54.75,68.54,59.68,48.0,30.22,64.51,59.19,29.27,66.64,22.9,39.5,54.61,51.29,63.1,63.66,70.6,66.13,53.55,34.07,66.51,83.46,68.1,69.32,24.97,59.24,69.46,74.58,80.88,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,13.3.0,12.10.5,12.10.5,12.10.5,12.10.5,12.10.8,12.10.5,13.3.0,12.10.5,12.10.5,0.0.0,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5
microsoft/Phi-3-mini-128k-instruct (few-shot),999.0,2.95,3821.0,32.0,130819,7311.73,True,False,40.85,59.79,4.51,3.71,5.43,46.21,58.44,51.76,64.64,19.18,37.45,52.86,36.39,56.5,17.42,38.06,51.53,62.14,42.36,21.33,3.11,47.93,57.21,51.11,59.28,15.52,22.99,42.27,20.19,40.11,33.3,51.15,52.18,29.83,50.53,31.94,2.63,40.21,4.0,44.87,61.14,37.08,60.69,12.72,17.34,38.04,17.43,38.01,17.8,36.5,27.22,24.21,1.31,39.67,41.15,17.24,62.0,15.8,1.85,26.88,1.06,47.19,22.12,43.83,54.65,44.64,-0.67,38.53,,,12.84,36.64,44.27,34.47,10.44,48.93,68.02,56.4,62.6,15.63,28.63,46.39,22.58,41.78,53.05,65.57,55.36,36.14,23.08,58.65,62.02,31.55,67.33,24.07,39.57,54.67,51.26,63.03,46.77,60.99,64.09,49.92,31.62,63.73,85.72,71.25,69.54,24.79,57.66,68.22,72.26,79.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.10.0,12.10.0,12.10.0,12.9.1,12.9.1,12.9.1,12.9.1,12.10.0,12.10.0,12.10.0,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.9.1,12.10.0,12.10.0,12.10.0,13.3.0,12.9.1,12.9.1,12.9.1,12.10.0,12.10.8,12.10.0,13.3.0,12.9.1,12.9.1,0.0.0,12.9.1,12.9.1,12.9.1,12.9.1,12.10.0,12.10.0,12.10.0,12.9.1,12.9.1,12.9.1,12.9.1,12.10.0,12.10.0,12.10.0,12.9.1,12.9.1,12.9.1,12.9.1,12.10.0,12.10.0,12.10.0,12.10.0
mistralai/Mistral-Nemo-Instruct-2407 (few-shot),999.0,2.24,12248.0,131.0,1024001,7094.98,True,False,48.97,64.19,53.95,34.84,31.78,61.53,65.53,56.44,66.24,20.0,67.09,74.85,72.87,81.97,42.77,55.61,70.54,73.39,62.86,36.42,37.5,66.32,65.98,58.0,65.93,19.24,40.58,55.16,42.99,56.16,60.64,73.91,70.14,51.03,68.74,51.48,35.59,61.96,29.22,60.98,76.01,49.87,64.61,16.1,39.07,53.89,37.95,51.35,,,59.7,41.69,4.64,38.48,58.88,29.68,68.13,20.42,41.76,56.28,13.24,56.22,,,72.85,65.14,2.31,46.15,,,10.1,33.62,66.57,48.4,40.31,69.53,74.24,59.99,68.66,20.75,42.5,56.53,48.51,60.59,57.7,71.63,66.27,49.86,35.54,60.12,66.9,34.45,68.65,25.16,47.05,60.01,52.68,63.07,63.05,70.34,75.24,67.78,44.75,71.43,83.88,67.7,70.56,25.57,57.55,68.02,67.97,75.51,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,0.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,0.0.0,13.0.0,13.0.0,0.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
"mlabonne/NeuralBeagle14-7B (few-shot, val)",999.0,2.41,7242.0,32.0,8192,2549.38,False,True,51.29,66.57,53.02,41.35,19.73,57.07,61.26,51.69,67.33,22.77,65.38,73.95,62.78,74.61,39.07,53.83,76.03,78.25,61.25,50.76,16.28,49.04,60.05,50.96,68.35,24.05,32.3,48.98,38.78,52.89,54.04,66.46,62.47,57.71,66.69,58.83,16.75,49.11,13.0,49.33,65.43,34.48,65.74,19.13,28.39,45.59,35.19,50.12,,,49.86,42.54,1.26,48.46,55.51,22.48,65.6,19.46,5.19,28.44,12.9,56.88,,,62.78,59.73,3.69,48.72,,,11.25,39.0,63.53,50.43,27.76,62.44,70.12,50.94,71.2,23.47,40.23,54.77,47.87,60.78,59.6,72.42,64.81,53.01,27.06,63.33,60.93,25.22,67.31,24.72,35.84,51.64,49.13,61.68,63.85,72.4,69.16,57.28,28.4,62.7,76.37,52.69,70.55,26.32,51.74,63.44,71.96,78.87,9.3.2,9.3.2,9.3.2,12.5.2,12.6.1,10.0.1,10.0.1,9.3.2,9.3.2,9.3.2,9.3.2,12.5.2,9.3.2,9.3.2,9.3.2,9.3.2,9.3.2,9.3.2,9.3.2,9.3.2,12.5.2,9.3.2,9.3.2,9.3.2,0.0.0,9.3.2,9.3.2,12.5.2,9.3.2,9.3.2,12.1.0,0.0.0,9.3.2,9.3.2,0.0.0,9.3.2,9.3.2,9.3.2,12.5.2,9.3.2,9.3.2,9.3.2,9.3.2,9.3.2,9.3.2,12.5.2,9.3.2,9.3.2,9.3.2,9.3.2,9.3.2,9.3.2,12.5.2,9.3.2,9.3.2,9.3.2,9.3.2
neuralmagic/Sparse-Llama-3.1-8B-2of4 (few-shot),999.0,2.9,8030.0,128.0,131072,2840.83,True,False,37.08,54.37,27.6,25.68,10.84,49.05,63.61,58.67,63.45,17.77,38.31,53.54,46.65,63.48,28.92,44.79,76.57,76.28,33.21,32.18,10.51,49.04,63.06,58.15,63.82,18.33,26.73,44.29,21.33,37.89,32.18,50.19,35.54,35.62,36.61,37.38,0.0,33.25,0.0,32.79,68.45,43.47,60.89,14.01,24.47,42.42,33.51,48.18,21.98,31.07,22.23,22.77,4.02,41.49,45.64,23.34,51.47,10.97,10.62,33.06,1.78,55.89,,,45.35,44.99,0.81,47.19,63.42,46.19,11.94,34.06,34.21,33.46,6.18,37.82,71.27,60.44,64.48,20.21,29.76,46.99,38.79,51.86,50.44,62.82,40.63,38.86,10.79,40.21,61.01,34.67,69.06,29.21,31.77,48.72,41.12,53.8,68.49,58.77,59.28,55.81,21.95,49.75,87.44,78.16,69.54,26.96,46.35,59.11,60.61,67.8,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,14.0.3,14.0.3,14.0.3,14.0.3,14.0.3,13.2.0,13.2.0,0.0.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0,13.2.0
skole-gpt-mixtral (few-shot),999.0,2.41,,32.0,32768,3582.66,False,False,51.51,66.73,49.17,34.74,32.04,64.63,66.15,58.52,66.83,21.53,65.77,74.26,77.56,85.02,30.34,46.85,78.27,77.65,54.14,37.43,32.49,64.28,66.56,58.95,65.86,19.67,43.62,57.61,28.84,45.75,52.09,65.72,62.52,49.42,61.55,47.53,21.99,58.21,16.84,51.76,72.6,47.3,64.7,17.1,39.99,54.9,32.16,48.12,,,42.15,33.52,4.49,47.31,56.11,27.51,66.89,19.6,19.27,39.42,9.45,54.44,,,67.89,59.99,-0.41,38.95,,,8.92,24.28,62.16,45.76,32.76,65.17,72.57,56.87,68.39,20.83,46.17,59.57,33.31,49.12,59.45,72.95,57.82,43.22,36.75,67.88,63.95,33.55,69.37,28.13,50.96,63.17,39.28,52.23,68.55,69.63,67.43,60.4,39.75,69.19,82.86,65.93,70.9,25.88,59.14,69.28,57.88,67.75,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,0.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,0.0.0,13.0.0,13.0.0,0.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
upstage/SOLAR-10.7B-v1.0 (few-shot),999.0,2.09,10732.0,32.0,4096,3780.42,True,False,46.63,59.02,58.03,38.25,15.09,40.04,67.21,62.15,66.81,22.82,64.79,73.46,68.59,78.59,65.29,73.54,77.48,70.13,59.65,39.33,16.94,40.98,68.15,62.65,65.19,19.09,39.82,54.84,68.87,76.46,55.33,69.71,68.11,57.57,68.19,56.9,10.15,36.27,7.51,35.89,80.42,55.33,65.51,19.63,35.57,51.45,62.76,71.77,,,62.08,51.09,7.58,44.38,56.6,29.66,66.11,18.74,18.75,38.96,7.64,49.4,,,71.15,69.19,0.0,33.26,,,11.93,34.67,65.37,46.1,41.67,69.81,78.01,67.75,68.83,26.12,40.18,55.06,65.34,73.48,59.79,71.47,68.11,56.25,35.45,66.13,68.54,37.27,69.31,28.82,41.2,55.9,72.65,79.18,70.01,59.77,69.5,63.41,41.35,70.11,89.35,76.79,71.16,29.84,51.95,63.78,90.94,93.17,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,0.0.0,12.5.3,12.5.3,12.5.3,12.5.3,12.10.8,12.5.3,0.0.0,12.5.3,12.5.3,0.0.0,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3,12.5.3
meta-llama/Llama-3.2-3B (few-shot),999.0,3.15,3213.0,128.0,131073,3713.14,True,False,38.9,44.34,41.13,27.15,9.6,44.34,62.25,56.85,63.35,15.11,45.46,57.79,46.77,64.61,12.19,33.27,77.76,67.88,51.06,31.63,5.88,38.51,62.93,57.43,62.73,17.61,27.05,44.68,13.3,33.89,39.96,58.34,49.57,37.13,52.13,38.26,3.2,37.62,3.72,38.51,68.67,45.54,58.99,11.04,21.88,40.31,14.24,33.82,14.86,32.9,42.04,25.31,0.0,32.97,49.31,24.07,61.8,14.5,13.79,35.23,0.25,48.1,11.12,31.01,56.41,48.01,-1.45,35.04,,,7.9,30.71,47.4,33.11,3.1,34.24,68.47,56.53,62.27,16.54,29.18,46.04,10.34,32.08,54.65,65.94,49.85,41.04,3.17,36.54,58.09,29.37,67.96,25.3,29.56,46.21,16.15,35.4,63.29,67.82,59.09,52.03,13.5,50.33,81.12,68.15,67.73,22.02,40.1,54.53,20.88,39.75,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,0.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
state-spaces/mamba-2.8b-hf (few-shot),999.0,4.14,2768.0,50.0,32769,2721.51,True,False,10.47,19.91,17.58,15.48,1.23,36.92,49.37,42.56,62.56,17.47,2.18,24.56,4.94,38.22,1.84,26.18,71.7,71.01,23.25,20.55,-0.82,40.8,46.93,40.48,54.39,13.19,-0.43,24.95,1.98,26.14,31.06,45.42,26.9,24.65,34.59,33.15,0.21,36.38,-0.17,40.22,22.83,10.35,53.77,9.67,-0.16,23.32,1.32,25.63,-1.7,21.85,18.38,20.76,0.49,42.54,23.24,6.3,51.62,8.63,2.25,26.07,-6.17,52.9,4.8,28.71,27.72,34.07,0.3,36.35,,,2.4,22.89,22.95,23.05,3.12,45.58,32.09,22.4,50.36,9.96,-0.48,24.57,1.28,26.62,18.66,35.11,21.96,18.48,0.16,37.84,18.42,7.08,56.47,11.0,1.65,26.62,0.02,25.61,66.55,58.18,28.63,27.07,1.47,45.89,47.83,35.0,62.05,16.8,-0.41,23.76,-0.04,25.03,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,0.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
01-ai/Yi-1.5-6B (few-shot),999.0,2.98,6061.0,64.0,4097,2867.41,True,False,12.73,22.69,35.21,23.65,4.75,35.71,61.53,55.95,64.28,18.81,46.17,59.04,36.46,57.64,18.01,38.12,70.71,71.19,45.55,26.78,4.83,36.64,61.21,55.25,63.18,17.62,26.05,44.56,27.09,44.95,27.86,31.62,46.02,35.05,48.72,35.97,2.41,35.6,2.5,34.9,67.06,44.7,60.92,13.73,23.93,42.87,22.39,41.71,10.58,31.23,38.15,28.1,0.98,35.86,44.2,20.39,61.23,14.45,7.59,31.07,3.44,46.89,16.72,34.15,47.9,47.09,-0.2,34.85,,,9.23,19.38,51.18,35.45,1.99,34.69,65.31,54.66,60.81,15.41,28.03,45.9,23.64,42.59,47.12,59.69,48.2,39.04,12.39,45.13,57.48,30.5,65.48,22.72,30.83,48.12,24.9,43.21,68.74,58.25,55.51,50.61,40.81,69.94,84.5,72.33,67.71,23.57,48.36,61.21,68.5,76.04,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,0.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
meta-llama/Llama-3.2-1B-Instruct (few-shot),999.0,3.63,1236.0,128.0,131073,7435.78,False,False,36.94,49.24,35.45,30.39,1.12,44.63,53.34,44.61,61.33,15.38,27.14,43.89,18.57,46.35,3.16,26.86,71.86,71.15,41.6,37.22,3.72,48.04,52.9,43.57,56.69,13.27,14.64,35.56,3.1,26.6,27.43,42.83,44.66,41.13,47.78,44.3,0.07,34.07,1.14,33.17,39.37,18.0,57.67,10.42,11.67,33.08,3.53,26.63,6.91,27.56,33.76,32.21,-0.13,42.66,33.38,12.43,59.46,13.23,2.09,25.68,3.56,56.72,11.75,31.09,43.5,44.7,1.18,37.59,,,9.15,32.55,42.01,37.16,1.11,36.71,53.75,40.04,58.72,12.47,17.71,38.01,6.98,28.05,38.26,55.52,42.51,37.05,5.48,48.23,41.82,19.43,60.81,13.79,16.06,36.96,6.64,29.12,59.46,65.61,56.41,52.05,8.36,49.5,67.95,47.26,66.61,21.06,25.59,43.75,18.56,38.13,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,0.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
01-ai/Yi-6B (few-shot),999.0,3.11,6061.0,64.0,4096,6435.34,True,False,,,35.08,25.02,,,60.88,55.09,64.15,18.95,34.07,50.17,33.75,54.22,13.61,34.38,,,46.69,32.97,,,60.77,54.95,62.7,17.52,25.28,43.71,19.2,38.76,,,43.44,33.41,46.33,34.05,,,,,62.78,40.28,61.98,14.38,23.14,41.88,16.5,36.98,8.76,27.75,0.0,0.0,,,40.63,16.91,60.02,14.22,4.35,28.94,0.72,52.54,13.21,35.39,0.0,0.0,,,,,,,46.34,33.3,,,66.5,55.33,58.35,14.29,29.33,46.94,20.27,39.32,52.66,67.63,0.0,0.0,7.33,37.69,57.13,30.05,66.09,23.2,30.33,47.68,22.89,41.15,,,52.7,48.83,,,85.86,75.89,64.51,18.84,50.89,63.01,68.29,75.9,0.0.0,9.3.2,0.0.0,12.5.1,12.6.1,10.0.1,10.0.1,10.0.1,0.0.0,9.3.2,0.0.0,12.5.1,12.0.0,10.0.1,10.0.1,0.0.0,9.3.2,9.3.2,0.0.0,0.0.0,12.5.1,12.0.0,10.0.1,10.0.1,13.3.0,9.3.2,0.0.0,12.5.1,12.0.0,12.10.8,12.1.0,13.3.0,9.3.2,0.0.0,0.0.0,0.0.0,9.3.2,0.0.0,12.5.1,12.0.0,10.0.1,10.0.1,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,12.10.0,0.0.0,9.3.2,0.0.0,12.5.1,12.0.0,10.0.1,10.0.1,12.10.0
LumiOpen/Viking-13B (few-shot),999.0,3.96,14030.0,131.0,4097,839.52,True,False,48.71,60.9,28.6,20.29,2.3,37.21,58.96,53.85,64.05,16.99,0.55,24.15,0.0,35.66,0.36,25.24,78.66,78.34,31.55,18.37,5.69,44.98,57.87,52.93,60.05,13.94,1.32,23.28,0.35,25.33,29.22,39.25,26.76,23.69,35.38,27.52,2.58,36.11,2.79,36.17,53.61,34.41,56.69,8.56,-0.56,21.99,-0.43,24.54,,,26.28,22.73,2.17,48.03,45.48,22.65,62.07,11.04,-0.07,23.51,-2.92,53.55,,,49.32,46.86,1.7,37.62,,,8.57,34.17,36.74,32.36,3.01,46.03,40.73,32.32,51.76,10.67,0.67,24.89,-0.3,23.52,42.9,56.64,34.53,29.89,1.51,43.36,29.77,15.83,61.4,14.84,-1.84,23.98,-0.12,24.41,59.9,54.05,42.78,40.64,5.68,50.82,68.97,58.52,64.83,18.37,1.63,23.51,0.54,24.93,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,12.10.4,0.0.0,12.10.5,12.10.5,12.10.5,12.10.5,12.10.8,12.10.5,0.0.0,12.10.5,12.10.5,0.0.0,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.5.2,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5,12.10.5
