model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,allocine,eltec,scala_fr,fquad,orange_sum,mmlu_fr,hellaswag_fr,allocine_version,eltec_version,scala_fr_version,fquad_version,orange_sum_version,mmlu_fr_version,hellaswag_fr_version
<a href='https://huggingface.co/google/rembert'>google/rembert</a>,🔍,-@@100,575922690.0,250300.0,512.0,✓,✗,91.09 ± 0.93 / 95.51 ± 0.48@@91.0886418865999,70.89 ± 1.07 / 69.84 ± 1.26@@70.88952674411937,33.58 ± 12.41 / 65.26 ± 7.18@@33.57723845188617,61.62 ± 2.71 / 37.62 ± 2.27@@61.616345740036834,-@@-1,-@@-1,7.21 ± 8.10 / 30.45 ± 6.05@@7.214791562209423,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,-@@0,-@@0,14.4.0@@140400
<a href='https://huggingface.co/ZurichNLP/unsup-simcse-xlm-roberta-base'>ZurichNLP/unsup-simcse-xlm-roberta-base</a>,🔍,-@@100,277453570.0,250002.0,514.0,✓,✗,80.77 ± 0.55 / 90.33 ± 0.30@@80.76905753550862,69.61 ± 1.03 / 69.22 ± 1.11@@69.60853612026038,2.29 ± 1.76 / 45.05 ± 3.45@@2.292048323989063,34.99 ± 1.59 / 17.97 ± 1.31@@34.99342352767575,-@@-1,0.64 ± 1.01 / 25.40 ± 0.76@@0.6426489817931617,1.11 ± 0.68 / 25.89 ± 0.53@@1.1086453639456697,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,-@@0,15.2.0.dev0@@150200,15.2.0.dev0@@150200
<a href='https://huggingface.co/Twitter/twhin-bert-large'>Twitter/twhin-bert-large</a>,🔍,-@@100,561713298.0,250002.0,512.0,✓,✗,73.42 ± 7.08 / 86.37 ± 3.81@@73.42286548340098,74.36 ± 1.64 / 73.31 ± 1.55@@74.35875224370588,9.90 ± 8.38 / 47.36 ± 7.86@@9.895024007205393,23.04 ± 8.87 / 12.30 ± 5.72@@23.03997154916346,-@@-1,0.90 ± 0.54 / 25.71 ± 0.40@@0.9000468763751395,0.79 ± 1.26 / 25.61 ± 0.94@@0.7935784463033927,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,-@@0,15.2.0.dev0@@150200,15.2.0.dev0@@150200
<a href='https://huggingface.co/Twitter/twhin-bert-base'>Twitter/twhin-bert-base</a>,🔍,-@@100,279080594.0,250002.0,512.0,✓,✗,68.41 ± 3.58 / 84.10 ± 1.83@@68.41471847823051,71.62 ± 1.37 / 71.10 ± 1.34@@71.62041399556541,4.11 ± 3.75 / 46.13 ± 4.83@@4.109528677612197,9.74 ± 0.76 / 4.00 ± 0.62@@9.738275814919767,-@@-1,-0.96 ± 1.31 / 24.31 ± 0.98@@-0.9573483797418082,0.95 ± 1.07 / 25.70 ± 0.80@@0.9463281076212212,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,-@@0,15.2.0.dev0@@150200,15.2.0.dev0@@150200
<a href='https://huggingface.co/ibm-granite/granite-20b-code-instruct'>ibm-granite/granite-20b-code-instruct (few-shot)</a>,📝,-@@100,20066993152.0,49152.0,8192.0,✓,✗,0.00 ± 0.00 / 32.22 ± 0.34@@0.0,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.4.2.dev0@@150402,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/ibm-granite/granite-34b-code-instruct'>ibm-granite/granite-34b-code-instruct (few-shot)</a>,📝,-@@100,33715603456.0,49152.0,8192.0,✓,✗,0.00 ± 0.00 / 32.22 ± 0.34@@0.0,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.4.2.dev0@@150402,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/intfloat/multilingual-e5-base'>intfloat/multilingual-e5-base</a>,🔍,-@@100,278044162.0,250002.0,512.0,✓,✗,86.21 ± 1.11 / 93.04 ± 0.57@@86.20887697650934,73.47 ± 1.10 / 73.17 ± 1.11@@73.46605209206099,24.57 ± 11.71 / 61.11 ± 5.96@@24.567787837601887,43.65 ± 1.10 / 24.27 ± 0.79@@43.64949622194371,-@@-1,-@@-1,0.57 ± 1.46 / 25.45 ± 1.09@@0.5664905020242648,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,-@@0,-@@0,14.4.0@@140400
<a href='https://huggingface.co/intfloat/multilingual-e5-large-instruct'>intfloat/multilingual-e5-large-instruct</a>,🔍,-@@100,559890432.0,250002.0,512.0,✓,✗,-@@-1,-@@-1,-@@-1,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/intfloat/multilingual-e5-large'>intfloat/multilingual-e5-large</a>,🔍,-@@100,559890946.0,250002.0,512.0,✓,✗,91.79 ± 0.66 / 95.88 ± 0.34@@91.78965504311687,75.33 ± 1.44 / 74.66 ± 1.51@@75.32976121187735,24.57 ± 14.02 / 60.55 ± 7.47@@24.56755213622626,59.55 ± 2.28 / 34.93 ± 2.05@@59.55309740612397,-@@-1,0.74 ± 1.29 / 25.57 ± 0.95@@0.7364353140503971,0.94 ± 1.89 / 25.68 ± 1.41@@0.936117881444809,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,-@@0,15.2.0.dev0@@150200,15.2.0.dev0@@150200
<a href='https://huggingface.co/meta-llama/Llama-2-7b-chat-hf'>meta-llama/Llama-2-7b-chat-hf (few-shot)</a>,📝,-@@100,6738417664.0,32000.0,4096.0,✓,✗,78.00 ± 5.56 / 87.65 ± 3.64@@77.99578953292354,37.83 ± 1.58 / 27.55 ± 1.59@@37.827284923816016,16.31 ± 2.06 / 51.70 ± 3.91@@16.306604443019253,59.24 ± 1.39 / 33.59 ± 0.78@@59.23959166458606,-@@-1,-@@-1,-@@-1,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,-@@0,-@@0,-@@0
<a href='https://huggingface.co/PleIAs/Pleias-3b-Preview'>PleIAs/Pleias-3b-Preview (few-shot)</a>,🧠,-@@100,3211926528.0,65536.0,4096.0,✓,✗,76.40 ± 2.50 / 88.06 ± 1.32@@76.39985431039248,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.8.1.dev0@@150801,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
fresh-xlm-roberta-base,🔍,-@@100,278885778.0,250002.0,512.0,✓,✗,12.64 ± 10.12 / 44.61 ± 9.50@@12.64017535080628,22.07 ± 3.39 / 21.62 ± 3.46@@22.067878455925158,0.66 ± 1.56 / 40.53 ± 3.91@@0.6552232688414006,0.03 ± 0.04 / 0.00 ± 0.00@@0.025082384132276,-@@-1,0.32 ± 1.59 / 25.31 ± 1.18@@0.3168663835401381,-0.09 ± 0.72 / 24.93 ± 0.53@@-0.0910846996396636,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,-@@0,15.2.0.dev0@@150200,15.2.0.dev0@@150200
<a href='https://huggingface.co/NovaSky-AI/Sky-T1-32B-Preview'>NovaSky-AI/Sky-T1-32B-Preview (few-shot)</a>,📝,-@@100,32763876352.0,152064.0,32768.0,✓,✗,95.14 ± 0.58 / 97.57 ± 0.29@@95.13747593125824,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.4.2.dev0@@150402,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/MaLA-LM/emma-500-llama2-7b'>MaLA-LM/emma-500-llama2-7b (few-shot)</a>,🧠,-@@100,6738415616.0,32000.0,4096.0,✓,✗,89.51 ± 0.86 / 94.66 ± 0.48@@89.5111573809858,44.92 ± 1.78 / 44.15 ± 1.87@@44.91520870119231,5.17 ± 1.82 / 39.00 ± 2.06@@5.168570064395919,70.79 ± 1.31 / 45.73 ± 1.00@@70.78601142205503,-@@-1,-@@-1,-@@-1,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,-@@0,-@@0,-@@0
<a href='https://huggingface.co/microsoft/mdeberta-v3-base'>microsoft/mdeberta-v3-base</a>,🔍,-@@100,278810882.0,251000.0,512.0,✓,✗,86.09 ± 0.96 / 93.00 ± 0.49@@86.08816029222822,70.03 ± 1.49 / 69.24 ± 1.46@@70.02803638939768,49.83 ± 5.07 / 74.27 ± 2.41@@49.82771392695269,24.97 ± 9.00 / 13.13 ± 5.39@@24.971800403331503,-@@-1,0.16 ± 1.34 / 25.08 ± 1.00@@0.15724067703490788,2.85 ± 4.58 / 27.13 ± 3.43@@2.8461526252948723,15.0.0@@150000,15.0.0@@150000,15.0.0.dev0@@150000,15.0.0.dev0@@150000,-@@0,15.0.0.dev0@@150000,15.0.0.dev0@@150000
<a href='https://huggingface.co/microsoft/phi-4'>microsoft/phi-4 (few-shot)</a>,📝,-@@100,14659507200.0,100352.0,16384.0,✓,✗,93.97 ± 0.51 / 96.96 ± 0.26@@93.96820548865522,61.73 ± 2.27 / 55.80 ± 2.64@@61.72647376612903,41.24 ± 1.82 / 63.75 ± 1.68@@41.237763741333126,-@@-1,-@@-1,-@@-1,-@@-1,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/microsoft/xlm-align-base'>microsoft/xlm-align-base</a>,🔍,-@@100,278045186.0,250002.0,514.0,✓,✗,82.87 ± 1.06 / 91.36 ± 0.52@@82.87246537485248,70.50 ± 1.04 / 69.64 ± 1.09@@70.50205056710115,3.17 ± 3.97 / 47.69 ± 4.45@@3.1651443087202336,38.21 ± 1.77 / 20.63 ± 1.23@@38.2098143587519,-@@-1,0.44 ± 1.01 / 25.20 ± 0.76@@0.436898545862204,0.12 ± 1.23 / 25.13 ± 0.92@@0.1206019468194253,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,-@@0,15.2.0.dev0@@150200,15.2.0.dev0@@150200
<a href='https://huggingface.co/HPLT/gpt-13b-nordic-prerelease'>HPLT/gpt-13b-nordic-prerelease (few-shot)</a>,🧠,-@@100,14030361600.0,131072.0,4096.0,✓,✗,85.48 ± 1.60 / 92.47 ± 0.97@@85.48061896549066,40.03 ± 1.90 / 37.31 ± 2.66@@40.03104149664375,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,14.4.0@@140400,14.4.0@@140400,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/Geotrend/distilbert-base-25lang-cased'>Geotrend/distilbert-base-25lang-cased</a>,🔍,-@@100,108867577.0,84985.0,512.0,✓,✗,57.60 ± 1.93 / 78.71 ± 0.99@@57.59949495464637,69.12 ± 0.84 / 68.72 ± 0.81@@69.12462198325015,16.61 ± 8.72 / 54.73 ± 6.76@@16.611974239875913,14.25 ± 1.41 / 6.23 ± 0.86@@14.246743594713838,-@@-1,-0.36 ± 1.08 / 24.56 ± 0.83@@-0.3643953588338866,1.57 ± 0.86 / 26.18 ± 0.66@@1.571532260095232,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,-@@0,15.2.0.dev0@@150200,15.2.0.dev0@@150200
<a href='https://huggingface.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,-@@100,561192082.0,250002.0,512.0,✓,✗,89.83 ± 0.94 / 94.87 ± 0.50@@89.83260637670315,75.58 ± 0.64 / 74.74 ± 0.64@@75.58449115315453,15.85 ± 13.06 / 49.72 ± 10.55@@15.853809685222883,61.94 ± 0.91 / 37.67 ± 0.83@@61.94171274745256,-@@-1,-@@-1,1.93 ± 1.31 / 26.47 ± 1.00@@1.9291156262984963,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,-@@0,-@@0,14.4.0@@140400
<a href='https://huggingface.co/EuropeanParliament/EUBERT'>EuropeanParliament/EUBERT</a>,🔍,-@@100,93990500.0,65636.0,512.0,✓,✗,40.30 ± 2.62 / 69.70 ± 1.41@@40.30100653293491,47.50 ± 1.49 / 46.57 ± 1.50@@47.49767128090882,3.59 ± 2.08 / 51.15 ± 1.09@@3.5934356814048813,26.27 ± 1.46 / 12.19 ± 0.82@@26.267946804109535,-@@-1,-0.21 ± 1.02 / 24.87 ± 0.78@@-0.21237895987455965,0.58 ± 1.02 / 25.46 ± 0.77@@0.5790933007395053,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,-@@0,15.2.0.dev0@@150200,15.2.0.dev0@@150200
<a href='https://ollama.com/library/gemma3:27b-it-fp16'>ollama_chat/gemma3:27b-it-fp16 (few-shot)</a>,📝,-@@100,,,,✓,✗,95.03 ± 0.34 / 97.51 ± 0.18@@95.02837667346068,68.98 ± 1.22 / 64.85 ± 1.33@@68.97966616154324,42.70 ± 2.98 / 69.54 ± 2.12@@42.69889212615556,67.64 ± 1.04 / 36.25 ± 0.94@@67.64031837786574,-@@-1,63.67 ± 0.77 / 72.65 ± 0.58@@63.666334085582434,-@@-1,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0,15.3.1@@150301,-@@0
<a href='https://huggingface.co/01-ai/Yi-1.5-9B'>01-ai/Yi-1.5-9B (few-shot)</a>,🧠,-@@100,8829407232.0,64000.0,4096.0,✓,✗,-@@-1,55.15 ± 1.82 / 47.25 ± 1.89@@55.15427854375338,-@@-1,73.97 ± 1.70 / 47.68 ± 0.98@@73.9657570403581,65.62 ± 1.18 / 20.47 ± 1.56@@65.6223558037891,-@@-1,-@@-1,-@@0,15.1.0@@150100,-@@0,15.1.0@@150100,15.1.0@@150100,-@@0,-@@0
