model,generative_type,rank,french,italian,spanish,parameters,vocabulary_size,context,commercial,merge,allocine,eltec,scala_fr,fquad,sentipolc16,multinerd_it,scala_it,squad_it,sentiment_headlines_es,conll_es,scala_es,mlqa_es,allocine_version,eltec_version,scala_fr_version,fquad_version,sentipolc16_version,multinerd_it_version,scala_it_version,squad_it_version,sentiment_headlines_es_version,conll_es_version,scala_es_version,mlqa_es_version
<a href='https://huggingface.co/nvidia/mistral-nemo-minitron-8b-base'>nvidia/mistral-nemo-minitron-8b-base (few-shot)</a>,🧠,2.08@@2.08,1.90@@1.90,2.20@@2.20,2.15@@2.15,8414105600.0,131072.0,8192.0,✓,✗,92.51 ± 0.68 / 96.17 ± 0.36@@92.51066222684115,58.36 ± 2.11 / 53.88 ± 2.00@@58.35821189566144,30.60 ± 1.94 / 60.68 ± 2.08@@30.596351874733312,73.29 ± 1.59 / 47.51 ± 1.11@@73.28998293209054,53.63 ± 2.81 / 68.43 ± 2.21@@53.63115844352808,59.19 ± 4.57 / 52.30 ± 3.08@@59.187828482940056,13.56 ± 2.78 / 46.99 ± 3.74@@13.561710718222454,71.25 ± 1.65 / 52.93 ± 2.25@@71.24942034286151,34.56 ± 2.67 / 49.07 ± 3.51@@34.56420544366583,60.55 ± 2.14 / 54.96 ± 1.45@@60.548655235576156,14.34 ± 3.06 / 46.16 ± 4.49@@14.342763797214733,66.71 ± 1.33 / 42.34 ± 2.52@@66.70971003911663,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://ollama.com/library/hf.co'>ollama_chat/hf.co/google/gemma-3-4b-it-qat-q4_0-gguf (few-shot)</a>,📝,2.08@@2.08,2.05@@2.05,2.10@@2.10,2.08@@2.08,3880099328.0,,131072.0,✓,✗,90.58 ± 0.73 / 95.21 ± 0.40@@90.58361575476545,56.62 ± 1.46 / 48.32 ± 1.60@@56.621735540975656,33.36 ± 2.09 / 64.54 ± 1.37@@33.36365502470661,61.49 ± 0.98 / 31.93 ± 0.72@@61.48688828820351,59.14 ± 1.39 / 71.82 ± 1.38@@59.13575824033457,61.51 ± 2.51 / 43.30 ± 1.76@@61.50529537849285,18.95 ± 2.72 / 56.95 ± 1.92@@18.95452880257658,63.10 ± 0.64 / 41.59 ± 0.65@@63.09845230491287,44.43 ± 2.70 / 59.52 ± 2.37@@44.427335485640064,55.61 ± 2.42 / 47.67 ± 1.63@@55.60575125617102,20.88 ± 3.11 / 58.60 ± 1.69@@20.877837551019365,57.36 ± 0.83 / 30.84 ± 0.65@@57.364571970487816,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/senseable/WestLake-7B-v2'>senseable/WestLake-7B-v2 (few-shot)</a>,🧠,2.09@@2.09,2.03@@2.03,2.05@@2.05,2.19@@2.19,7241732096.0,32000.0,4096.0,✗,✗,91.64 ± 1.36 / 95.69 ± 0.74@@91.63982487860564,54.69 ± 1.97 / 51.14 ± 1.56@@54.69243126080079,31.87 ± 2.90 / 63.41 ± 1.74@@31.871066803768883,68.13 ± 2.48 / 36.69 ± 1.36@@68.13484010524601,54.85 ± 2.14 / 69.26 ± 1.90@@54.85103196173549,69.60 ± 1.98 / 52.85 ± 3.07@@69.59620759388866,17.86 ± 2.38 / 53.52 ± 2.48@@17.857528732860967,69.38 ± 0.92 / 45.92 ± 1.01@@69.37924008473409,45.49 ± 2.12 / 62.89 ± 1.53@@45.48797045350724,64.53 ± 1.35 / 58.72 ± 1.73@@64.52539641970287,8.09 ± 2.14 / 41.09 ± 2.22@@8.089711289184578,58.92 ± 2.38 / 27.18 ± 3.93@@58.92006718992955,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/google/gemma-3-4b-it'>google/gemma-3-4b-it (few-shot)</a>,📝,2.09@@2.09,2.12@@2.12,2.07@@2.07,2.07@@2.07,4300079472.0,262144.0,,✓,✗,91.62 ± 0.46 / 95.79 ± 0.23@@91.61659154388416,51.33 ± 1.81 / 49.99 ± 1.81@@51.325220439489286,33.08 ± 2.04 / 65.09 ± 1.27@@33.08137920101429,63.51 ± 0.83 / 32.57 ± 0.72@@63.51114414340744,57.66 ± 1.49 / 69.78 ± 1.35@@57.65752231195832,60.29 ± 1.95 / 48.70 ± 1.20@@60.292981195386616,22.76 ± 2.77 / 60.54 ± 1.34@@22.763452480200165,64.32 ± 0.67 / 39.61 ± 1.05@@64.318089074324,42.62 ± 1.48 / 58.49 ± 1.39@@42.62286245771765,54.72 ± 1.27 / 48.63 ± 1.47@@54.723671468060175,22.40 ± 2.88 / 60.38 ± 1.65@@22.399527416805583,58.47 ± 0.56 / 29.65 ± 1.24@@58.4725470350798,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0.dev0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B (few-shot)</a>,🧠,2.09@@2.09,1.90@@1.90,2.07@@2.07,2.29@@2.29,8030261248.0,128256.0,131072.0,✓,✗,92.16 ± 0.79 / 95.98 ± 0.42@@92.16471236547743,57.60 ± 2.49 / 55.45 ± 2.32@@57.60051802470581,30.98 ± 1.59 / 62.94 ± 2.58@@30.978757285518142,74.36 ± 1.83 / 48.69 ± 1.42@@74.3614369682979,50.77 ± 2.62 / 65.98 ± 2.47@@50.77245094351953,61.22 ± 4.62 / 52.44 ± 2.68@@61.22321808132756,20.45 ± 3.09 / 57.92 ± 2.28@@20.45152944417243,70.23 ± 2.13 / 52.33 ± 3.10@@70.23480219506115,34.67 ± 3.39 / 51.87 ± 3.27@@34.670487940340415,61.21 ± 2.31 / 57.38 ± 2.09@@61.20809334012927,9.47 ± 3.97 / 48.66 ± 3.91@@9.468054595131036,64.74 ± 2.16 / 39.24 ± 3.69@@64.73745735067048,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.7.1.dev0@@150701,15.7.2.dev0@@150702,15.7.1.dev0@@150701,15.7.2.dev0@@150702
<a href='https://huggingface.co/nvidia/Mistral-NeMo-Minitron-8B-Base'>nvidia/Mistral-NeMo-Minitron-8B-Base (few-shot)</a>,🧠,2.10@@2.10,1.93@@1.93,2.20@@2.20,2.15@@2.15,8414105600.0,131072.0,8192.0,✓,✗,91.95 ± 0.64 / 95.87 ± 0.33@@91.94810040537558,56.25 ± 2.30 / 51.26 ± 2.73@@56.246877788804674,32.11 ± 1.95 / 63.15 ± 2.11@@32.11479792701944,73.34 ± 1.60 / 47.58 ± 1.12@@73.33527568555712,53.58 ± 2.78 / 68.40 ± 2.19@@53.57588098448045,59.18 ± 4.50 / 52.25 ± 3.04@@59.18263953032024,13.55 ± 2.67 / 46.93 ± 3.73@@13.545068853725779,71.28 ± 1.65 / 52.97 ± 2.26@@71.2824152538187,34.51 ± 2.54 / 48.08 ± 3.83@@34.508142157086226,60.40 ± 2.21 / 54.84 ± 1.54@@60.403296595305825,15.94 ± 3.36 / 47.56 ± 4.11@@15.943089156016727,66.77 ± 1.36 / 42.39 ± 2.56@@66.77024575640753,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800,15.8.0@@150800
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct'>meta-llama/Meta-Llama-3-8B-Instruct (few-shot)</a>,📝,2.11@@2.11,2.14@@2.14,2.18@@2.18,2.00@@2.00,8030261248.0,128256.0,8192.0,✓,✗,94.00 ± 0.55 / 96.99 ± 0.28@@93.99866107315674,51.73 ± 2.12 / 48.93 ± 2.32@@51.72836065339808,30.18 ± 1.52 / 59.37 ± 1.74@@30.183398354983066,63.73 ± 1.04 / 31.30 ± 1.14@@63.7315928489136,44.88 ± 0.92 / 47.45 ± 0.55@@44.882481232319726,71.52 ± 1.48 / 60.24 ± 1.39@@71.52064562787504,19.44 ± 2.50 / 57.20 ± 2.36@@19.439690594544025,64.49 ± 0.89 / 37.75 ± 1.53@@64.48544143358012,45.09 ± 1.60 / 61.56 ± 1.45@@45.087157100361765,66.43 ± 1.56 / 61.82 ± 1.35@@66.4313334368703,18.95 ± 2.76 / 56.29 ± 1.43@@18.95154266625873,55.12 ± 0.62 / 20.80 ± 1.46@@55.12258124779489,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-8b-001'>gemini/gemini-1.5-flash-8b-001 (zero-shot, val)</a>",📝,2.12@@2.12,2.13@@2.13,2.31@@2.31,1.94@@1.94,8000000000.0,256128.0,1048576.0,✓,✗,90.74 ± 1.46 / 95.34 ± 0.74@@90.74460239772598,53.74 ± 1.96 / 40.51 ± 1.92@@53.73712028442383,29.85 ± 3.81 / 64.52 ± 1.81@@29.854670803824735,64.41 ± 1.11 / 33.28 ± 1.40@@64.40977691939253,51.86 ± 2.14 / 60.62 ± 1.79@@51.86115568106147,56.24 ± 1.75 / 38.29 ± 1.44@@56.23638226786537,14.48 ± 4.70 / 53.12 ± 2.46@@14.476583350571563,68.24 ± 0.88 / 43.97 ± 1.29@@68.24403290237703,48.70 ± 2.17 / 60.31 ± 1.63@@48.69837911793665,63.59 ± 1.19 / 40.43 ± 1.07@@63.58516634224978,17.35 ± 5.49 / 58.03 ± 2.67@@17.35234389879254,60.57 ± 1.32 / 28.99 ± 1.25@@60.57362641270551,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.6.1.dev0@@150601,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/google/gemma-2-9b'>google/gemma-2-9b (few-shot)</a>,🧠,2.13@@2.13,2.18@@2.18,2.21@@2.21,1.99@@1.99,9241705984.0,256000.0,8192.0,✓,✗,93.67 ± 0.71 / 96.78 ± 0.37@@93.67323049988477,38.32 ± 5.24 / 35.61 ± 4.56@@38.32169273546694,32.92 ± 1.46 / 60.96 ± 2.05@@32.91929228761261,73.09 ± 1.78 / 44.65 ± 1.30@@73.09423147890467,58.07 ± 2.40 / 71.28 ± 2.05@@58.06838983522835,41.79 ± 3.75 / 38.91 ± 2.86@@41.79355055482521,22.65 ± 2.80 / 56.18 ± 3.19@@22.646610392983618,70.76 ± 2.72 / 52.08 ± 2.48@@70.75664897929013,43.12 ± 2.98 / 59.06 ± 4.01@@43.11536798149183,44.17 ± 2.44 / 40.54 ± 1.85@@44.17122162115096,28.81 ± 3.99 / 63.16 ± 2.32@@28.805022593869538,65.37 ± 1.54 / 37.94 ± 2.79@@65.36680999295449,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/google/rembert'>google/rembert</a>,🔍,2.14@@2.14,1.83@@1.83,2.24@@2.24,2.36@@2.36,574594434.0,250300.0,512.0,✓,✗,91.09 ± 0.93 / 95.51 ± 0.48@@91.0886418865999,70.89 ± 1.07 / 69.84 ± 1.26@@70.88952674411937,33.58 ± 12.41 / 65.26 ± 7.18@@33.57723845188617,61.62 ± 2.71 / 37.62 ± 2.27@@61.616345740036834,40.00 ± 3.63 / 59.39 ± 2.60@@40.004817043940754,88.34 ± 0.86 / 77.48 ± 0.84@@88.34185227643394,11.98 ± 7.84 / 49.99 ± 7.64@@11.983798735110799,61.28 ± 1.74 / 44.50 ± 2.07@@61.27654538518332,7.84 ± 6.32 / 28.07 ± 7.07@@7.8400709653818375,84.58 ± 0.55 / 84.53 ± 0.50@@84.58248723996007,19.81 ± 11.33 / 54.88 ± 9.61@@19.805949503581445,49.44 ± 2.36 / 28.11 ± 2.05@@49.43963981233844,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/ibm-granite/granite-3.0-8b-base'>ibm-granite/granite-3.0-8b-base (few-shot)</a>,🧠,2.15@@2.15,2.17@@2.17,2.30@@2.30,1.97@@1.97,8170835968.0,49152.0,4096.0,✓,✗,92.91 ± 0.99 / 96.40 ± 0.52@@92.91403084876958,39.17 ± 1.56 / 36.63 ± 1.75@@39.17032998684457,32.53 ± 2.14 / 64.26 ± 2.00@@32.526067139892284,74.64 ± 1.22 / 46.85 ± 0.98@@74.64325350874137,41.16 ± 1.85 / 45.35 ± 1.14@@41.159453340753046,56.40 ± 2.06 / 46.10 ± 2.30@@56.396997421816174,19.82 ± 2.93 / 57.95 ± 2.82@@19.81572940793097,72.62 ± 1.47 / 55.23 ± 2.60@@72.61555923178028,46.12 ± 2.67 / 62.68 ± 3.08@@46.11908888194084,50.55 ± 0.80 / 44.30 ± 1.54@@50.548849274431284,25.47 ± 2.40 / 59.60 ± 3.39@@25.468347929407013,65.01 ± 2.12 / 38.39 ± 3.63@@65.01086114679103,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.1.0@@150100,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
"<a href='https://docs.anthropic.com/en/docs/about-claude/models/all-models'>claude-3-5-haiku-20241022 (zero-shot, val)</a>",📝,2.15@@2.15,2.46@@2.46,1.82@@1.82,2.17@@2.17,,,200000.0,✓,✗,53.45 ± 2.44 / 76.07 ± 1.28@@53.45477678268298,65.75 ± 2.00 / 54.78 ± 2.17@@65.75374226916762,18.01 ± 4.70 / 44.72 ± 2.66@@18.008900031386986,61.90 ± 0.77 / 23.91 ± 1.34@@61.8970767929211,54.69 ± 2.74 / 67.75 ± 2.10@@54.694001009233816,67.22 ± 1.75 / 44.64 ± 1.30@@67.22054949247232,29.96 ± 1.77 / 50.22 ± 1.71@@29.964822661631924,68.70 ± 1.18 / 38.73 ± 1.63@@68.7047519965327,36.97 ± 2.37 / 47.15 ± 1.39@@36.96530061363526,60.03 ± 1.64 / 41.47 ± 1.81@@60.03282312792724,17.97 ± 4.79 / 49.09 ± 2.58@@17.967588058956295,58.16 ± 1.09 / 24.63 ± 0.91@@58.16386754645107,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,15.3.1@@150301,15.3.1.dev0@@150301,15.3.1@@150301,15.3.1@@150301,15.4.2@@150402,15.6.1.dev0@@150601,15.4.2@@150402,15.4.2@@150402
<a href='https://huggingface.co/mistralai/Ministral-8B-Instruct-2410'>mistralai/Ministral-8B-Instruct-2410 (few-shot)</a>,📝,2.16@@2.16,2.29@@2.29,2.21@@2.21,1.96@@1.96,8019808256.0,131072.0,32768.0,✓,✗,92.81 ± 0.61 / 96.35 ± 0.32@@92.8057637098911,59.05 ± 1.64 / 53.26 ± 1.85@@59.04966634080745,7.82 ± 2.13 / 34.92 ± 0.70@@7.821174029648437,69.74 ± 1.40 / 40.14 ± 0.88@@69.73908441681951,57.06 ± 1.14 / 70.23 ± 1.22@@57.06388182377772,59.63 ± 1.88 / 46.27 ± 2.23@@59.627652877120866,13.00 ± 3.90 / 38.83 ± 2.82@@13.000999851905734,71.93 ± 0.65 / 54.95 ± 0.66@@71.92814712228855,41.61 ± 2.68 / 54.42 ± 2.32@@41.60541296001314,63.60 ± 1.57 / 53.78 ± 1.74@@63.595926619466034,18.03 ± 3.35 / 43.42 ± 3.59@@18.025789594838386,65.87 ± 1.07 / 41.68 ± 0.51@@65.87308764499872,15.0.0@@150000,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B (few-shot)</a>,🧠,2.16@@2.16,2.17@@2.17,2.16@@2.16,2.14@@2.14,9152319488.0,128000.0,4096.0,✓,✗,93.97 ± 0.45 / 96.97 ± 0.22@@93.96752988135762,48.47 ± 2.33 / 42.64 ± 1.45@@48.474704169515945,25.81 ± 3.71 / 52.83 ± 4.69@@25.808178886735895,71.25 ± 1.48 / 43.59 ± 0.67@@71.25278333386704,54.63 ± 2.64 / 68.75 ± 2.26@@54.62773089401098,53.83 ± 3.45 / 44.50 ± 2.62@@53.83151164417115,17.98 ± 2.28 / 57.02 ± 1.68@@17.9794914485432,73.46 ± 1.27 / 57.80 ± 1.86@@73.45934113780925,42.11 ± 2.31 / 60.16 ± 1.74@@42.10958351765862,52.02 ± 2.29 / 44.90 ± 1.57@@52.0169246381903,15.57 ± 3.26 / 45.99 ± 3.93@@15.572339615618919,67.85 ± 0.83 / 44.13 ± 1.41@@67.84774187181394,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/tiiuae/Falcon3-7B-Base'>tiiuae/Falcon3-7B-Base (few-shot)</a>,🧠,2.16@@2.16,1.96@@1.96,2.45@@2.45,2.06@@2.06,7455550464.0,131072.0,32768.0,✓,✗,93.15 ± 0.79 / 96.53 ± 0.40@@93.1540050231105,50.56 ± 1.92 / 46.39 ± 2.24@@50.55806069977036,36.47 ± 3.67 / 66.66 ± 2.44@@36.470911336593005,69.44 ± 2.62 / 43.51 ± 1.85@@69.44319879988234,50.74 ± 2.73 / 61.51 ± 4.00@@50.741875199354446,59.12 ± 3.52 / 44.73 ± 1.73@@59.12388416463793,6.50 ± 2.72 / 37.93 ± 2.25@@6.49939083157445,67.33 ± 0.94 / 50.72 ± 1.79@@67.33437444756291,41.57 ± 3.11 / 59.21 ± 2.52@@41.573073579558546,57.51 ± 1.79 / 50.82 ± 1.41@@57.51068402882943,19.22 ± 3.74 / 56.34 ± 3.04@@19.21907709336519,65.37 ± 0.93 / 41.95 ± 1.59@@65.37404818874991,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/NousResearch/DeepHermes-3-Llama-3-8B-Preview'>NousResearch/DeepHermes-3-Llama-3-8B-Preview (few-shot)</a>,📝,2.17@@2.17,2.01@@2.01,2.27@@2.27,2.22@@2.22,8030261248.0,128256.0,131072.0,✓,✗,93.52 ± 0.29 / 96.74 ± 0.15@@93.5150590050902,52.56 ± 2.64 / 49.04 ± 2.67@@52.559852491019065,31.48 ± 2.52 / 63.06 ± 3.39@@31.48492748509433,68.62 ± 1.38 / 37.82 ± 0.98@@68.6235782510224,42.54 ± 0.82 / 46.16 ± 0.62@@42.539517654930016,64.60 ± 1.92 / 55.52 ± 1.42@@64.59807272878568,19.79 ± 2.06 / 54.04 ± 2.62@@19.79358322959262,65.18 ± 1.41 / 44.26 ± 2.16@@65.1819873018124,45.89 ± 1.46 / 63.13 ± 1.18@@45.89252863724641,60.78 ± 1.83 / 52.70 ± 2.13@@60.77804791963837,7.13 ± 1.21 / 39.21 ± 3.08@@7.130776083821953,59.77 ± 2.04 / 30.97 ± 3.64@@59.76558755954839,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/ibm-granite/granite-3.0-8b-instruct'>ibm-granite/granite-3.0-8b-instruct (few-shot)</a>,📝,2.18@@2.18,2.24@@2.24,2.24@@2.24,2.07@@2.07,8170848256.0,49155.0,4096.0,✓,✗,90.20 ± 2.55 / 95.05 ± 1.31@@90.2031877157967,41.76 ± 1.83 / 36.24 ± 1.91@@41.75592183327435,27.60 ± 3.08 / 60.17 ± 3.19@@27.599909740654706,72.15 ± 1.57 / 45.88 ± 1.10@@72.14634042662485,43.46 ± 0.97 / 46.62 ± 0.51@@43.458551033664186,62.95 ± 1.48 / 44.95 ± 2.15@@62.94721712878303,18.76 ± 2.28 / 58.35 ± 1.79@@18.7646945224754,69.69 ± 1.62 / 52.79 ± 1.81@@69.69283379756607,48.18 ± 1.55 / 63.78 ± 1.48@@48.1755910419306,52.51 ± 1.58 / 42.86 ± 1.82@@52.50827527529462,17.07 ± 1.61 / 56.32 ± 1.24@@17.067689624480447,64.53 ± 1.20 / 40.88 ± 1.02@@64.53060535961444,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/NorwAI/NorwAI-Mixtral-8x7B-instruct'>NorwAI/NorwAI-Mixtral-8x7B-instruct (few-shot)</a>,🧠,2.19@@2.19,1.93@@1.93,2.38@@2.38,2.27@@2.27,46997647360.0,67993.0,32768.0,✓,✗,93.28 ± 0.71 / 96.62 ± 0.36@@93.28338252313782,51.13 ± 2.08 / 47.86 ± 2.38@@51.12587501749275,37.26 ± 2.01 / 65.48 ± 2.17@@37.26430203436317,73.09 ± 0.80 / 41.62 ± 1.81@@73.09428099341382,45.51 ± 1.18 / 48.23 ± 0.79@@45.51286329627949,61.86 ± 3.00 / 51.44 ± 1.97@@61.85563385026287,12.72 ± 3.78 / 49.95 ± 4.52@@12.719966088517449,68.44 ± 1.28 / 44.84 ± 3.57@@68.44421870809921,33.19 ± 3.51 / 49.92 ± 3.26@@33.189572418115766,55.66 ± 2.22 / 51.98 ± 1.80@@55.663918220158195,12.88 ± 4.77 / 40.82 ± 3.54@@12.88165454648516,64.13 ± 3.67 / 36.32 ± 5.20@@64.13142417390738,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701
<a href='https://huggingface.co/NorwAI/NorwAI-Mixtral-8x7B'>NorwAI/NorwAI-Mixtral-8x7B (few-shot)</a>,🧠,2.20@@2.20,1.94@@1.94,2.39@@2.39,2.26@@2.26,46997647360.0,67993.0,32768.0,✓,✗,94.09 ± 0.60 / 97.03 ± 0.30@@94.08546592039487,50.65 ± 1.98 / 46.30 ± 2.48@@50.651839783273914,33.15 ± 3.83 / 62.84 ± 3.99@@33.15483264712813,74.03 ± 1.59 / 47.13 ± 1.03@@74.02781632141928,43.62 ± 2.03 / 46.78 ± 1.13@@43.62096524763248,67.03 ± 1.78 / 53.13 ± 2.04@@67.02647406608409,9.63 ± 3.80 / 47.82 ± 5.07@@9.633580233723436,69.70 ± 2.91 / 51.71 ± 3.27@@69.69723206341061,28.20 ± 3.85 / 44.15 ± 4.01@@28.19956036641956,57.16 ± 2.75 / 53.77 ± 2.18@@57.158801213554355,18.75 ± 4.12 / 49.91 ± 4.38@@18.74759398738664,64.85 ± 4.29 / 41.06 ± 5.37@@64.84962195048486,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-8B'>meta-llama/Meta-Llama-3-8B (few-shot)</a>,🧠,2.21@@2.21,2.09@@2.09,2.28@@2.28,2.26@@2.26,8030261248.0,128256.0,8192.0,✓,✗,92.13 ± 0.86 / 95.96 ± 0.46@@92.12673466456799,52.20 ± 2.99 / 51.15 ± 2.57@@52.19586220983389,27.42 ± 3.05 / 59.35 ± 3.71@@27.42270246738047,72.66 ± 2.64 / 47.51 ± 1.89@@72.66061910358805,43.83 ± 3.51 / 57.48 ± 3.97@@43.83104821807507,55.94 ± 4.55 / 50.77 ± 2.82@@55.938485504852295,18.87 ± 3.19 / 57.38 ± 1.95@@18.87003790011986,70.00 ± 2.33 / 53.44 ± 2.88@@69.99764385813623,37.44 ± 3.94 / 56.31 ± 3.14@@37.438758275288365,58.23 ± 2.39 / 54.74 ± 2.00@@58.22724136750409,8.66 ± 4.33 / 45.81 ± 3.15@@8.655457408725058,65.70 ± 1.46 / 42.18 ± 2.44@@65.69658792276883,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
